ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
30455	DiÖu D­¬ng-PhËt V©n Th¸nh C« QuÇn	0;101;3138;1	2	3	8			30189		yaoyang_capclothshoe
30456	DiÖu D­¬ng-PhËt V©n Th¸nh C« QuÇn	0;101;3139;1	2	4	8			30190		yaoyang_capclothshoe
30457	§¹i §Þnh Hån Thiªn Th¹ch Linh Th¹ch	2;1;1113;1					1	30191		
30458	C­êng hãa quyÓn cÊp 12	2;1;30424;1						30192		
30459	C­êng hãa quyÓn cÊp 13	2;1;30425;1						30193		
30460	C­êng hãa quyÓn cÊp 14	2;1;30426;1					1	30194		
30461	C­êng hãa quyÓn cÊp 15	2;1;30427;1					1	30195	168	
30462	Cæ D­¬ng Thó  B¶o B¶o	0;105;30021;1					1	30200	168	
30463	Thiªn HuyÔn Kh¾c B¶n cÊp 1 	2;1;30406;1						30201	168	
30464	Thiªn HuyÔn Kh¾c B¶n cÊp 2	2;1;30407;1						30202	168	
30465	TÈy T©m Th¹ch Kho¸ng	2;1;30536;1						30216		
30466	LuyÖn L« ThiÕt Kho¸ng	2;1;30537;1						30217		
30467	Tói Huy Ch­¬ng Dòng SÜ	2;1;30542;1						30213	168	
30468	Tói Huy Ch­¬ng Anh Hïng	2;1;30543;1						30218		
30469	ThiÕt Tinh cÊp 1	2;1;30533;1						30214		
30470	ThiÕt Tinh cÊp 2	2;1;30534;1						30215		
30471	ThiÕt Tinh cÊp 3	2;1;30535;1						30219		
30472	BÝ Ng©n Chïy	2;1;30539;1						30220		
30473	BÝ Ng©n To¶n	2;1;30538;1						30221		
30474	Tèy T©m Th¹ch Kho¸ng *10	2;1;30536;10						30224		
30475	LuyÖn L« ThiÕt Kho¸ng*10	2;1;30537;10						30225		
30476	Tinh ThiÕt cÊp 3*10	2;1;30535;10						30226		
30477	Tèy T©m Th¹ch Kho¸ng *10	2;1;30536;10						30227		
30478	LuyÖn L« ThiÕt Kho¸ng*10	2;1;30537;10						30228		
30479	vip Phong Th­ëng LÖnh: Du HiÖp	2;1;30560;1					1	30000;30229;30232;30235;30238;30241		
30480	vip Phong Th­ëng LÖnh: ¦ng D­¬ng	2;1;30561;1					1	30000;30244;30247;30250;30253		
30481	vip Phong Th­ëng LÖnh: ChiÕn Cuång	2;1;30562;1					1	30000;30256;30259;30262		
30482	Ngo¹i trang vip ¶m hån kim	2;1;30557;1					1	30000;30231;30234;30237;30240;30243		
30483	Ngo¹i trang vip t­¬ng kiÕn hoan	2;1;30558;1					1	30000;30246;30249;30252;30255		
30484	Ngo¹i trang vip thiÕu niªn du	2;1;30559;1					1	30000;30258;30261;30264		
30485	B¸o Tr¾ng B¶o B¶o	0;105;30028;1					1	30000;30230;30233;30236;30239;30242		
30486	B¸o §en B¶o B¶o	0;105;30029;1					1	30000;30230;30233;30236;30239;30242		
30487	B¸o Vµng B¶o B¶o	0;105;30030;1					1	30000;30230;30233;30236;30239;30242		
30488	Kim Mao Ng­u B¶o B¶o	0;105;30022;1					1	30000;30245;30248;30251;30254		
30489	Hång Mao Ng­u B¶o B¶o	0;105;30023;1					1	30000;30245;30248;30251;30254		
30490	Lam Mao Ng­u B¶o B¶o	0;105;30024;1					1	30000;30245;30248;30251;30254		
30491	L¹c §µ Tr¾ng	0;105;148;1					1	30000;30257;30260;30263		
30492	L¹c §µ X¸m	0;105;149;1					1	30000;30257;30260;30263		
30493	¤ V©n §¹p TuyÕt B¶o B¶o	0;105;30031;1						30265	720	
30494	§éc Gi¸c Thó B¶o B¶o	0;105;30032;1						30266	720	
30495	ThÇn hµnh b¶o ®iÓn	0;200;40;1						30267	720	
30496	B¸t B¶o TÈy Tñy Tiªn §¬n	2;0;138;1						30268	720	
30497	DÞch C©n §an	2;1;30549;1						30269	720	
30498	Thiªn Th¹ch linh th¹ch	2;1;1068;1				3198;1		30270	720	
30499	§Þnh Hån Thiªn Th¹ch Linh Th¹ch	2;1;1067;1				3199;1		30271	720	
30500	ChiÕn Cuång Thiªn §Þa M¹o	0;103;30143;1	1	1	2		1	30000;30272;30274		
30501	ChiÕn Cuång Thiªn §Þa M¹o	0;103;30144;1	1	2	2		1	30000;30272;30275		
30502	ChiÕn Cuång Thiªn T«n M¹o	0;103;30145;1	1	1	4		1	30000;30272;30276		
30503	ChiÕn Cuång Thiªn T«n M¹o	0;103;30146;1	1	2	4		1	30000;30272;30277		
30504	ChiÕn Cuång Phæ TÕ M¹o	0;103;30147;1	1	1	3		1	30000;30272;30278		
30505	ChiÕn Cuång Phæ TÕ M¹o	0;103;30148;1	1	2	3		1	30000;30272;30279		
30506	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30149;1	1	1	6		1	30000;30272;30280		
30507	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30150;1	1	2	6		1	30000;30272;30281		
30508	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30151;1	2	3	6		1	30000;30272;30282		
30509	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30152;1	2	4	6		1	30000;30272;30283		
30510	ChiÕn Cuång Bå T¸t Tr©m	0;103;30153;1	2	3	8		1	30000;30272;30284		
30511	ChiÕn Cuång Bå T¸t Tr©m	0;103;30154;1	2	4	8		1	30000;30272;30285		
30512	ChiÕn Cuång L­u Thñy Tr©m	0;103;30155;1	2	3	9		1	30000;30272;30286		
30513	ChiÕn Cuång L­u Thñy Tr©m	0;103;30156;1	2	4	9		1	30000;30272;30287		
30514	ChiÕn Cuång ThÇn Du C©n	0;103;30157;1	1	1	11		1	30000;30272;30288		
30515	ChiÕn Cuång ThÇn Du C©n	0;103;30158;1	1	2	11		1	30000;30272;30289		
30516	ChiÕn Cuång ThÇn Du C©n	0;103;30159;1	2	3	11		1	30000;30272;30290		
30517	ChiÕn Cuång ThÇn Du C©n	0;103;30160;1	2	4	11		1	30000;30272;30291		
30518	ChiÕn Cuång Tiªu Dao C©n	0;103;30161;1	1	1	12		1	30000;30272;30292		
30519	ChiÕn Cuång Tiªu Dao C©n	0;103;30162;1	1	2	12		1	30000;30272;30293		
30520	ChiÕn Cuång Tiªu Dao C©n	0;103;30163;1	2	3	12		1	30000;30272;30294		
30521	ChiÕn Cuång Tiªu Dao C©n	0;103;30164;1	2	4	12		1	30000;30272;30295		
30522	ChiÕn Cuång V« Vi Qu¸n	0;103;30165;1	1	1	14		1	30000;30272;30296		
30523	ChiÕn Cuång V« Vi Qu¸n	0;103;30166;1	1	2	14		1	30000;30272;30297		
30524	ChiÕn Cuång V« Vi Qu¸n	0;103;30167;1	2	3	14		1	30000;30272;30298		
30525	ChiÕn Cuång V« Vi Qu¸n	0;103;30168;1	2	4	14		1	30000;30272;30299		
30526	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30169;1	1	1	15		1	30000;30272;30300		
30527	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30170;1	1	2	15		1	30000;30272;30301		
30528	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30171;1	2	3	15		1	30000;30272;30302		
30529	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30172;1	2	4	15		1	30000;30272;30303		
30530	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30173;1	1	1	17		1	30000;30272;30304		
30531	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30174;1	1	2	17		1	30000;30272;30305		
30532	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30175;1	2	3	17		1	30000;30272;30306		
30533	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30176;1	2	4	17		1	30000;30272;30307		
30534	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30177;1	1	1	18		1	30000;30272;30308		
30535	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30178;1	1	2	18		1	30000;30272;30309		
30536	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30179;1	2	3	18		1	30000;30272;30310		
30537	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30180;1	2	4	18		1	30000;30272;30311		
30538	ChiÕn Cuång Minh T«n C©n	0;103;30181;1	1	1	20		1	30000;30272;30312		
30539	ChiÕn Cuång Minh T«n C©n	0;103;30182;1	1	2	20		1	30000;30272;30313		
30540	ChiÕn Cuång Minh T«n C©n	0;103;30183;1	2	3	20		1	30000;30272;30314		
30541	ChiÕn Cuång Minh T«n C©n	0;103;30184;1	2	4	20		1	30000;30272;30315		
30542	ChiÕn Cuång Cæ T©m C©n	0;103;30185;1	1	1	21		1	30000;30272;30316		
30543	ChiÕn Cuång Cæ T©m C©n	0;103;30186;1	1	2	21		1	30000;30272;30317		
30544	ChiÕn Cuång Cæ T©m C©n	0;103;30187;1	2	3	21		1	30000;30272;30318		
30545	ChiÕn Cuång Cæ T©m C©n	0;103;30188;1	2	4	21		1	30000;30272;30319		
30546	ChiÕn Cuång Phong L«i Qu¸n	0;103;30189;1	1	1	23		1	30000;30272;30320		
30547	ChiÕn Cuång Phong L«i Qu¸n	0;103;30190;1	1	2	23		1	30000;30272;30321		
30548	ChiÕn Cuång Th¸nh N÷  Tr©m	0;103;30203;1	2	3	29		1	30000;30272;30322		
30549	ChiÕn Cuång Th¸nh N÷  Tr©m	0;103;30204;1	2	4	29		1	30000;30272;30323		
30550	ChiÕn Cuång Th¸nh Linh Tr©m	0;103;30205;1	2	3	30		1	30000;30272;30324		
30551	ChiÕn Cuång Th¸nh Linh Tr©m	0;103;30206;1	2	4	30		1	30000;30272;30325		
30552	ChiÕn Cuång Thiªn §Þa Bµo	0;100;30143;1	1	1	2		1	30000;30272;30326		
30553	ChiÕn Cuång Thiªn §Þa Bµo	0;100;30144;1	1	2	2		1	30000;30272;30327		
30554	ChiÕn Cuång Thiªn T«n Bµo	0;100;30145;1	1	1	4		1	30000;30272;30328		
30555	ChiÕn Cuång Thiªn T«n Bµo	0;100;30146;1	1	2	4		1	30000;30272;30329		
30556	ChiÕn Cuång Phæ TÕ Bµo	0;100;30147;1	1	1	3		1	30000;30272;30330		
30557	ChiÕn Cuång Phæ TÕ Bµo	0;100;30148;1	1	2	3		1	30000;30272;30331		
30558	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30149;1	1	1	6		1	30000;30272;30332		
30559	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30150;1	1	2	6		1	30000;30272;30333		
30560	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30151;1	2	3	6		1	30000;30272;30334		
30561	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30152;1	2	4	6		1	30000;30272;30335		
30562	ChiÕn Cuång Bå T¸t Y	0;100;30153;1	2	3	8		1	30000;30272;30336		
30563	ChiÕn Cuång Bå T¸t Y	0;100;30154;1	2	4	8		1	30000;30272;30337		
30564	ChiÕn Cuång L­u ThñyY	0;100;30155;1	2	3	9		1	30000;30272;30338		
30565	ChiÕn Cuång L­u ThñyY	0;100;30156;1	2	4	9		1	30000;30272;30339		
30566	ChiÕn Cuång ThÇn Du Y	0;100;30157;1	1	1	11		1	30000;30272;30340		
30567	ChiÕn Cuång ThÇn Du Y	0;100;30158;1	1	2	11		1	30000;30272;30341		
30568	ChiÕn Cuång ThÇn Du Y	0;100;30159;1	2	3	11		1	30000;30272;30342		
30569	ChiÕn Cuång ThÇn Du Y	0;100;30160;1	2	4	11		1	30000;30272;30343		
30570	ChiÕn Cuång Tiªu Dao Y	0;100;30161;1	1	1	12		1	30000;30272;30344		
30571	ChiÕn Cuång Tiªu Dao Y	0;100;30162;1	1	2	12		1	30000;30272;30345		
30572	ChiÕn Cuång Tiªu Dao Y	0;100;30163;1	2	3	12		1	30000;30272;30346		
30573	ChiÕn Cuång Tiªu Dao Y	0;100;30164;1	2	4	12		1	30000;30272;30347		
30574	ChiÕn Cuång V« Vi Bµo	0;100;30165;1	1	1	14		1	30000;30272;30348		
30575	ChiÕn Cuång V« Vi Bµo	0;100;30166;1	1	2	14		1	30000;30272;30349		
30576	ChiÕn Cuång V« Vi Bµo	0;100;30167;1	2	3	14		1	30000;30272;30350		
30577	ChiÕn Cuång V« Vi Bµo	0;100;30168;1	2	4	14		1	30000;30272;30351		
30578	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30169;1	1	1	15		1	30000;30272;30352		
30579	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30170;1	1	2	15		1	30000;30272;30353		
30580	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30171;1	2	3	15		1	30000;30272;30354		
30581	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30172;1	2	4	15		1	30000;30272;30355		
30582	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30173;1	1	1	17		1	30000;30272;30356		
30583	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30174;1	1	2	17		1	30000;30272;30357		
30584	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30175;1	2	3	17		1	30000;30272;30358		
30585	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30176;1	2	4	17		1	30000;30272;30359		
30586	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30177;1	1	1	18		1	30000;30272;30360		
30587	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30178;1	1	2	18		1	30000;30272;30361		
30588	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30179;1	2	3	18		1	30000;30272;30362		
30589	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30180;1	2	4	18		1	30000;30272;30363		
30590	ChiÕn Cuång Minh T«n Y	0;100;30181;1	1	1	20		1	30000;30272;30364		
30591	ChiÕn Cuång Minh T«n Y	0;100;30182;1	1	2	20		1	30000;30272;30365		
30592	ChiÕn Cuång Minh T«n Y	0;100;30183;1	2	3	20		1	30000;30272;30366		
30593	ChiÕn Cuång Minh T«n Y	0;100;30184;1	2	4	20		1	30000;30272;30367		
30594	ChiÕn Cuång Cæ T©m Y	0;100;30185;1	1	1	21		1	30000;30272;30368		
30595	ChiÕn Cuång Cæ T©m Y	0;100;30186;1	1	2	21		1	30000;30272;30369		
30596	ChiÕn Cuång Cæ T©m Y	0;100;30187;1	2	3	21		1	30000;30272;30370		
30597	ChiÕn Cuång Cæ T©m Y	0;100;30188;1	2	4	21		1	30000;30272;30371		
30598	ChiÕn Cuång Phong L«i Bµo	0;100;30189;1	1	1	23		1	30000;30272;30372		
30599	ChiÕn Cuång Phong L«i Bµo	0;100;30190;1	1	2	23		1	30000;30272;30373		
30600	ChiÕn Cuång Th¸nh N÷  Y	0;100;30203;1	2	3	29		1	30000;30272;30374		
30601	ChiÕn Cuång Th¸nh N÷  Y	0;100;30204;1	2	4	29		1	30000;30272;30375		
30602	ChiÕn Cuång Th¸nh Linh Y	0;100;30205;1	2	3	30		1	30000;30272;30376		
30603	ChiÕn Cuång Th¸nh Linh Y	0;100;30206;1	2	4	30		1	30000;30272;30377		
30604	ChiÕn Cuång Thiªn §Þa Trang	0;101;30143;1	1	1	2		1	30000;30272;30378		
30605	ChiÕn Cuång Thiªn §Þa Trang	0;101;30144;1	1	2	2		1	30000;30272;30379		
30606	ChiÕn Cuång Thiªn T«n Trang	0;101;30145;1	1	1	4		1	30000;30272;30380		
30607	ChiÕn Cuång Thiªn T«n Trang	0;101;30146;1	1	2	4		1	30000;30272;30381		
30608	ChiÕn Cuång Phæ TÕ Trang	0;101;30147;1	1	1	3		1	30000;30272;30382		
30609	ChiÕn Cuång Phæ TÕ Trang	0;101;30148;1	1	2	3		1	30000;30272;30383		
30610	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30149;1	1	1	6		1	30000;30272;30384		
30611	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30150;1	1	2	6		1	30000;30272;30385		
30612	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30151;1	2	3	6		1	30000;30272;30386		
30613	ChiÕn Cuång TuyÖt MÖnh Trang	0;101;30152;1	2	4	6		1	30000;30272;30387		
30614	ChiÕn Cuång Bå T¸t Khè	0;101;30153;1	2	3	8		1	30000;30272;30388		
30615	ChiÕn Cuång Bå T¸t Khè	0;101;30154;1	2	4	8		1	30000;30272;30389		
30616	ChiÕn Cuång L­u ThñyKhè	0;101;30155;1	2	3	9		1	30000;30272;30390		
30617	ChiÕn Cuång L­u ThñyKhè	0;101;30156;1	2	4	9		1	30000;30272;30391		
30618	ChiÕn Cuång ThÇn Du Trang	0;101;30157;1	1	1	11		1	30000;30272;30392		
30619	ChiÕn Cuång ThÇn Du Trang	0;101;30158;1	1	2	11		1	30000;30272;30393		
30620	ChiÕn Cuång ThÇn Du Trang	0;101;30159;1	2	3	11		1	30000;30272;30394		
30621	ChiÕn Cuång ThÇn Du Trang	0;101;30160;1	2	4	11		1	30000;30272;30395		
30622	ChiÕn Cuång Tiªu Dao Trang	0;101;30161;1	1	1	12		1	30000;30272;30396		
30623	ChiÕn Cuång Tiªu Dao Trang	0;101;30162;1	1	2	12		1	30000;30272;30397		
30624	ChiÕn Cuång Tiªu Dao Trang	0;101;30163;1	2	3	12		1	30000;30272;30398		
30625	ChiÕn Cuång Tiªu Dao Trang	0;101;30164;1	2	4	12		1	30000;30272;30399		
30626	ChiÕn Cuång V« Vi Trang	0;101;30165;1	1	1	14		1	30000;30272;30400		
30627	ChiÕn Cuång V« Vi Trang	0;101;30166;1	1	2	14		1	30000;30272;30401		
30628	ChiÕn Cuång V« Vi Trang	0;101;30167;1	2	3	14		1	30000;30272;30402		
30629	ChiÕn Cuång V« Vi Trang	0;101;30168;1	2	4	14		1	30000;30272;30403		
30630	ChiÕn Cuång Cµn Kh«n Trang	0;101;30169;1	1	1	15		1	30000;30272;30404		
30631	ChiÕn Cuång Cµn Kh«n Trang	0;101;30170;1	1	2	15		1	30000;30272;30405		
30632	ChiÕn Cuång Cµn Kh«n Trang	0;101;30171;1	2	3	15		1	30000;30272;30406		
30633	ChiÕn Cuång Cµn Kh«n Trang	0;101;30172;1	2	4	15		1	30000;30272;30407		
30634	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30173;1	1	1	17		1	30000;30272;30408		
30635	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30174;1	1	2	17		1	30000;30272;30409		
30636	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30175;1	2	3	17		1	30000;30272;30410		
30637	ChiÕn Cuång Thiªn Tinh  Trang	0;101;30176;1	2	4	17		1	30000;30272;30411		
30638	ChiÕn Cuång Xuyªn V©n Trang	0;101;30177;1	1	1	18		1	30000;30272;30412		
30639	ChiÕn Cuång Xuyªn V©n Trang	0;101;30178;1	1	2	18		1	30000;30272;30413		
30640	ChiÕn Cuång Xuyªn V©n Trang	0;101;30179;1	2	3	18		1	30000;30272;30414		
30641	ChiÕn Cuång Xuyªn V©n Trang	0;101;30180;1	2	4	18		1	30000;30272;30415		
30642	ChiÕn Cuång Minh T«n Trang	0;101;30181;1	1	1	20		1	30000;30272;30416		
30643	ChiÕn Cuång Minh T«n Trang	0;101;30182;1	1	2	20		1	30000;30272;30417		
30644	ChiÕn Cuång Minh T«n Trang	0;101;30183;1	2	3	20		1	30000;30272;30418		
30645	ChiÕn Cuång Minh T«n Trang	0;101;30184;1	2	4	20		1	30000;30272;30419		
30646	ChiÕn Cuång Cæ T©m Trang	0;101;30185;1	1	1	21		1	30000;30272;30420		
30647	ChiÕn Cuång Cæ T©m Trang	0;101;30186;1	1	2	21		1	30000;30272;30421		
30648	ChiÕn Cuång Cæ T©m Trang	0;101;30187;1	2	3	21		1	30000;30272;30422		
30649	ChiÕn Cuång Cæ T©m Trang	0;101;30188;1	2	4	21		1	30000;30272;30423		
30650	ChiÕn Cuång Phong L«i Trang	0;101;30189;1	1	1	23		1	30000;30272;30424		
30651	ChiÕn Cuång Phong L«i Trang	0;101;30190;1	1	2	23		1	30000;30272;30425		
30652	ChiÕn Cuång Th¸nh N÷  Khè	0;101;30203;1	2	3	29		1	30000;30272;30426		
30653	ChiÕn Cuång Th¸nh N÷  Khè	0;101;30204;1	2	4	29		1	30000;30272;30427		
30654	ChiÕn Cuång Th¸nh Linh Khè	0;101;30205;1	2	3	30		1	30000;30272;30428		
30655	ChiÕn Cuång Th¸nh Linh Khè	0;101;30206;1	2	4	30		1	30000;30272;30429		
30656	ChiÕn Cuång B¨ng Thiªn §ao	0;3;30143;1	1	1	2		1	30000;30273;30430		
30657	ChiÕn Cuång B¨ng Thiªn §ao	0;3;30144;1	1	2	2		1	30000;30273;30430		
30658	ChiÕn Cuång ThiÒn §Þnh Tr­îng	0;8;30147;1	1	1	3		1	30000;30273;30431		
30659	ChiÕn Cuång ThiÒn §Þnh Tr­îng	0;8;30148;1	1	2	3		1	30000;30273;30431		
30660	ChiÕn Cuång Th¸nh ChiÕn Thñ	0;0;30145;1	1	1	4		1	30000;30273;30432		
30661	ChiÕn Cuång Th¸nh ChiÕn Thñ	0;0;30146;1	1	2	4		1	30000;30273;30432		
30662	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30149;1	1	1	6		1	30000;30273;30433		
30663	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30150;1	1	2	6		1	30000;30273;30433		
30664	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30151;1	2	3	6		1	30000;30273;30433		
30665	ChiÕn Cuång §o¹t Hån Ch©m	0;1;30152;1	2	4	6		1	30000;30273;30433		
30666	ChiÕn Cuång PhËt Quang KiÕm	0;2;30153;1	2	3	8		1	30000;30273;30434		
30667	ChiÕn Cuång PhËt Quang KiÕm	0;2;30154;1	2	4	8		1	30000;30273;30434		
30668	ChiÕn Cuång Hé Bang CÇm	0;10;30155;1	2	3	9		1	30000;30273;30435		
30669	ChiÕn Cuång Hé Bang CÇm	0;10;30156;1	2	4	9		1	30000;30273;30435		
30670	ChiÕn Cuång Trõng ¸c Thñ	0;0;30157;1	1	1	11		1	30000;30273;30436		
30671	ChiÕn Cuång Trõng ¸c Thñ	0;0;30158;1	1	2	11		1	30000;30273;30436		
30672	ChiÕn Cuång Trõng ¸c Thñ	0;0;30159;1	2	3	11		1	30000;30273;30436		
30673	ChiÕn Cuång Trõng ¸c Thñ	0;0;30160;1	2	4	11		1	30000;30273;30436		
30674	ChiÕn Cuång V« Cùc C«n	0;5;30161;1	1	1	12		1	30000;30273;30437		
30675	ChiÕn Cuång V« Cùc C«n	0;5;30162;1	1	2	12		1	30000;30273;30437		
30676	ChiÕn Cuång V« Cùc C«n	0;5;30163;1	2	3	12		1	30000;30273;30437		
30677	ChiÕn Cuång V« Cùc C«n	0;5;30164;1	2	4	12		1	30000;30273;30437		
30678	ChiÕn Cuång Khu Ma KiÕm	0;2;30165;1	1	1	14		1	30000;30273;30438		
30679	ChiÕn Cuång Khu Ma KiÕm	0;2;30166;1	1	2	14		1	30000;30273;30438		
30680	ChiÕn Cuång Khu Ma KiÕm	0;2;30167;1	2	3	14		1	30000;30273;30438		
30681	ChiÕn Cuång Khu Ma KiÕm	0;2;30168;1	2	4	14		1	30000;30273;30438		
30682	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30169;1	1	1	15		1	30000;30273;30439		
30683	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30170;1	1	2	15		1	30000;30273;30439		
30684	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30171;1	2	3	15		1	30000;30273;30439		
30685	ChiÕn Cuång Th­¬ng Khung Bót	0;9;30172;1	2	4	15		1	30000;30273;30439		
30686	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30173;1	1	1	17		1	30000;30273;30440;31115		
30687	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30174;1	1	2	17		1	30000;30273;30440;31116		
30688	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30175;1	2	3	17		1	30000;30273;30440;31117		
30689	ChiÕn Cuång ThÇn KÝch Th­¬ng	0;6;30176;1	2	4	17		1	30000;30273;30440;31118		
30690	ChiÕn Cuång Xung Thiªn Cung	0;4;30177;1	1	1	18		1	30000;30273;30441		
30691	ChiÕn Cuång Xung Thiªn Cung	0;4;30178;1	1	2	18		1	30000;30273;30441		
30692	ChiÕn Cuång Xung Thiªn Cung	0;4;30179;1	2	3	18		1	30000;30273;30441		
30693	ChiÕn Cuång Xung Thiªn Cung	0;4;30180;1	2	4	18		1	30000;30273;30441		
30694	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30181;1	1	1	20		1	30000;30273;30442		
30695	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30182;1	1	2	20		1	30000;30273;30442		
30696	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30183;1	2	3	20		1	30000;30273;30442		
30697	ChiÕn Cuång LuyÖn Ngôc §ao	0;7;30184;1	2	4	20		1	30000;30273;30442		
30698	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30185;1	1	1	21		1	30000;30273;30443		
30699	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30186;1	1	2	21		1	30000;30273;30443		
30700	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30187;1	2	3	21		1	30000;30273;30443		
30701	ChiÕn Cuång NhiÕp Hån Tr¶o	0;11;30188;1	2	4	21		1	30000;30273;30443		
30702	ChiÕn Cuång Thiªn Ph¹t KiÕm	0;2;30189;1	1	1	23		1	30000;30273;30444		
30703	ChiÕn Cuång Thiªn Ph¹t KiÕm	0;2;30190;1	1	2	23		1	30000;30273;30444		
30704	ChiÕn Cuång Phong Linh PhiÕn	0;13;30203;1	2	3	29		1	30000;30273;30445		
30705	ChiÕn Cuång Phong Linh PhiÕn	0;13;30204;1	2	4	29		1	30000;30273;30445		
30706	ChiÕn Cuång Kh«ng Minh §Þch	0;12;30205;1	2	3	30		1	30000;30273;30446		
30707	ChiÕn Cuång Kh«ng Minh §Þch	0;12;30206;1	2	4	30		1	30000;30273;30446		
30708	DiÖu D­¬ng-¤ L©n B¶o Giíi	0;102;3176;1					1	30620		
30709	DiÖu D­¬ng-Tö Giao Ngäc Béi	0;102;3178;1					1	30621		
30710	DiÖu D­¬ng-V©n Hæ LÖnh	0;102;3180;1					1	30622		
30711	DiÖu D­¬ng-XÝch T­íc Hoµn	0;102;3182;1					1	30623		
30712	DiÖu D­¬ng-BÝch Quy Liªn	0;102;3184;1					1	30624		
30713	DiÖu D­¬ng-¤ L©n B¶o Giíi	0;102;3176;1					1	30699;30659;30665;30671;30677;30685;30687;30695		
30714	DiÖu D­¬ng-Tö Giao Ngäc Béi	0;102;3178;1					1	30699;30660;30669;30670;30674;30678;30683;30686;30688;30694		
30715	DiÖu D­¬ng-V©n Hæ LÖnh	0;102;3180;1					1	30699;30661;30667;30668;30673;30675;30680;30689;30691;30692		
30716	DiÖu D­¬ng-XÝch T­íc Hoµn	0;102;3182;1					1	30699;30662;30679;30681;30682;30690;30693;30697		
30717	DiÖu D­¬ng-BÝch Quy Liªn	0;102;3184;1					1	30699;30663;30664;30666;30672;30676;30684;30696		
30718	DiÖu D­¬ng-§é N¹n T«n Gi¶ PhËt §ao	0;3;8992;1			2		1	30000;30698;30625;30642		
30719	DiÖu D­¬ng-§é KiÕp T«n Gi¶ PhËt Thñ	0;0;8993;1			4		1	30000;30698;30626;30643		
30720	DiÖu D­¬ng-§é ¸ch T«n Gi¶ PhËt Tr­îng	0;8;8994;1			3		1	30000;30698;30627;30644		
30721	DiÖu D­¬ng-V¹n KiÕp Th¸nh Thñ Tr©m	0;1;8995;1			6		1	30000;30698;30628;30645		
30722	DiÖu D­¬ng-PhËt V©n Th¸nh C« Liªn KiÕm	0;2;8996;1			8		1	30000;30698;30629;30646		
