enum_relay	string
LOC_L_TASKCENTRE_7	Hñy bá nhiÖm vô ®Þnh giê: %s, Sè lÇn thiÕt lËp nhiÖm vô: %d  Sè lÇn ®· thùc thi: %d
LOC_L_TASKCENTRE_8	Th«ng qua chØ lÖnh script nµy ®· thªm vµo nhiÖm vô ®Þnh giê: %s
LOC_L_TASKCENTRE_9	§Æt nÒn mãng nhiÖm vô ®Þnh giê thµnh c«ng: %s
LOC_L_TASKCENTRE_10	§äc Settings File %s thÊt b¹i, xin kiÓm tra l¹i có ph¸p.
LOC_L_TASKCENTRE_11	§äc NhiÖm vô ®Þnh giê thÊt b¹i: %s, lçi nghiªm träng!!!
LOC_L_TASKCENTRE_12	Hñy bá tÊt c¶ nhiÖm vô!
LOC_L_TASKCENTRE_13	NhËn ®­îc th«ng tin tõ chØ lÖnh script, hñy bá mét nhiÖm vô: %s
LOC_L_TASKCENTRE_14	ThiÕt lËp tªn nhiÖm vô ®Þnh giê: %s
LOC_L_TASKCENTRE_15	ThiÕt lËp thêi gian nhiÖm vô ®Þnh giê: %d giê %d phót!
LOC_L_TASKCENTRE_16	Thêi gian tr­íc m¾t lµ: %d giê %d phót!
LOC_L_TASKCENTRE_17	H«m nay sÏ kh«ng thùc thi: ®· qu¸ thêi gian!
LOC_L_TASKCENTRE_18	Thêi gian thùc thi lÇn tíi: %d:%d! %d
LOC_L_TASKCENTRE_19	Thêi gian thùc thi lÇn sau: th¸ng %d ngµy %d!
LOC_L_TASKCENTRE_20	Thêi gian vËn hµnh ®Þnh giê nhiÖm vô b¸o lçi: %d giê %d phót %d gi©y!!!!!!!
LOC_L_TASKCENTRE_21	ThiÕt lËp thêi gian gi¸n c¸ch nhiÖm vô ®Þnh giê: %d gi©y mét lÇn!
LOC_L_TASKCENTRE_22	Ngµy thiÕt lËp NhiÖm vô ®Þnh giê-thêi gian gi¸n c¸ch mode thùc thi nhiÒu lÇn: %d ngµy mét lÇn!
LOC_L_TASKCENTRE_23	Th¸ng thiÕt lËp NhiÖm vô ®Þnh giê  thêi gian gi¸n c¸ch mode thùc thi nhiÒu lÇn: %d th¸ng mét lÇn!
LOC_L_TASKCENTRE_24	Sè lÇn ®Þnh giê nhiÖm vô: %d !
LOC_L_TASKCENTRE_25	ThiÕt lËp mode NhiÖm vô ®Þnh giê: %d , mode 0: mode phæ th«ng, Mçi ngµy vµi lÇn; Mode 1: Vµi ngµy mét lÇn; Mode 2: vµi th¸ng mét lÇn;
LOC_L_TASKCENTRE_26	ThiÕt lËp ngµy th¸ng b¾t ®Çu NhiÖm vô ®Þnh giê ph¸t sinh lçi: Sai tham sè th¸ng: th¸ng %d
LOC_L_TASKCENTRE_27	ThiÕt lËp ngµy th¸ng b¾t ®Çu NhiÖm vô ®Þnh giê ph¸t sinh lçi: Sai tham sè ngµy: ngµy %d
LOC_L_TASKCENTRE_28	ThiÕt lËp ngµy th¸ng b¾t ®Çu NhiÖm vô ®Þnh giê: th¸ng %d ngµy %d
LOC_L_TASKCENTRE_29	Thùc thi NhiÖm vô ®Þnh giê: %s
LOC_L_TASKCENTRE_30	Thùc thi script nhiÖm vô ph¸t sinh lçi! %s
LOC_L_TASKCENTRE_31	Thùc thi script NhiÖm vô ®Þnh giê ph¸t sinh lçi: %s!!
LOC_L_TONGCONNECT_0	ChuyÓn vÞ bang chñ: chuyÓn vÞ cho %s, tr¹ng th¸i c«ng thµnh chiÕn: %d!
LOC_L_TONGCONNECT_1	ChuyÓn vÞ bang chñ: Khi c«ng thµnh chiÕn, khãa thao t¸c chuyÓn vÞ!
LOC_L_TONGCONNECT_2	ChuyÓn vÞ bang chñ: tiÕp nhËn chuyÓn vÞ: %s - !tr¹ng th¸i c«ng thµnh chiÕn: %d!
LOC_L_TONGCONNECT_4	%s ®· hñy quan hÖ H¶o h÷u víi b¹n.
LOC_L_TONGCONNECT_5	%s ®· hñy quan hÖ Phu thª víi b¹n.
LOC_L_TONGCONNECT_6	%s ®· hñy quan hÖ Th©n nh©n víi b¹n.
LOC_L_S3RELAY_INIT_ALREADY	C¶nh b¸o: S3Relay ®· ®­îc khëi ®éng!
LOC_L_S3RELAY_INIT_START	S3Relay - b¾t ®Çu khëi ®éng!
LOC_L_S3RELAY_INIT_FINISHED	S3Relay - khëi ®éng hoµn tÊt!
LOC_L_S3RELAY_INIT_FAIL	FAIL: S3Relay khëi ®éng thÊt b¹i!
LOC_L_S3RELAY_LOGIN_FAIL	FAIL: ***MËt m· tµi kho¶n kh«ng ®óng!***
LOC_L_S3RELAY_UNINIT_START	S3Relay - b¾t ®Çu ®ãng l¹i!
LOC_L_S3RELAY_UNINIT_FINISHED	S3Relay - ®ãng l¹i hoµn tÊt!
LOC_L_S3RELAY_UNINIT_RUNTIMER_FAIL	FAIL - ghi l¹i thêi gian vËn hµnh thÊt b¹i!
LOC_L_S3RELAY_UNINIT_SHAREDB_FAIL	FAIL: ®ãng kho d÷ liÖu ph¸t sinh lçi!
LOC_L_S3RELAY_UNINIT_OFFLINEMSGDB_FAIL	FAIL: ®ãng d÷ liÖu tin nh¾n rêi m¹ng ph¸t sinh lçi!
LOC_L_S3RELAY_DISCONN_RELAY_ROOT	S3Relay: t¸ch liªn kÕt víi RelayRoot - 
LOC_L_S3RELAY_TO_RECONNECT_RELAYROOT	S3Relay: ®ang kÕt nèi l¹i víi RelayRoot
LOC_L_S3RELAY_DISCONN_GS_CHAT	S3Relay: t¸ch ra khái liªn kÕt t¸n gÉu cña GameSvr 
LOC_L_S3RELAY_NOTIFY_TO_STOP	Service cña Relay sÏ dõng l¹i! \n xin x¸c nhËn gateway vµ RelayRoot ®· b¾t ®Çu khëi ®éng, \n ®ång thêi kiÓm tra l¹i tµi kho¶n mËt khÈu cã chÝnh x¸c hay ch­a.
LOC_L_S3RELAY_INIT_SCRIPT_FIAIL	FAIL: Khëi ®éng m«-®un script ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_NC_CHECK_FAIL	FAIL: Ch­a kiÓm tra thÎ m¹ng!
LOC_L_S3RELAY_INIT_HEAVEN_FAIL	FAIL: Khëi ®éng m« ®un Heaven ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_RAINBOW_FAIL	FAIL: Khëi ®éng m«-®un Rainbow ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_CHNLMGR_FAIL	FAIL: Khëi ®éng m«-®un kªnh t¸n gÉu ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_FRIENDMGR_FAIL	FAIL: Khëi ®éng m«-®un h¶o h÷u ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_RELAYCENTRE_FAIL	FAIL: Khëi ®éng RelayCentre ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_ROOTCENTRE_FAIL	FAIL: Khëi ®éng RootCentre ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_ROOTCLIENT_FAIL	FAIL: ThiÕt lËp kÕt nèi víi RootRelay ph¸t sinh lçi - 
LOC_L_S3RELAY_INIT_GATEWAYCENTRE_FAIL	FAIL: Khëi ®éng m«-®un qu¶n lý liªn kÕt gateway ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_GATEWAY_FAIL	FAIL: ThiÕt lËp liªn kÕt víi gateway ph¸t sinh lçi - 
LOC_L_S3RELAY_INIT_HOSTCENTRE_FAIL	FAIL: Khëi ®éng m«-®un qu¶n lý liªn kÕt ®Õn c¸c m¸y chñ ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_SHAREDB_FAIL	FAIL: Më kho d÷ liÖu chung ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_OFFLINEMSGDB_FAIL	FAIL: Më kho d÷ liÖu b¶o l­u tin nh¾n sau khi rêi m¹ng ph¸t sinh lçi!
LOC_L_S3RELAY_INIT_MASTER_PRENTICE_FAIL	FAIL: Më kho d÷ liÖu s­ ®å b¸o lçi!
LOC_L_S3RELAY_INIT_ROLE_DB_FAIL	FAIL: T¹o liªn kÕt víi nh©n vËt b¸o lçi!
LOC_L_S3RELAY_INIT_RENAME_DAEMON_FAIL	FAIL: Khëi ®Çu dÞch vô ®æi tªn b¸o lçi!
LOC_L_S3RELAY_INIT_RENAME_DAEMON_OK	OK:Thµnh c«ng phôc vô ®æi tªn ban ®Çu
LOC_L_RELAYSRV_START_FAIL	FAIL: Relay Service - khëi ®éng thÊt b¹i!
LOC_L_HOSTSRV_START_FAIL	FAIL: Service liªn kÕt ®Õn c¸c m¸y chñ -- Khëi ®éng thÊt b¹i!
LOC_L_CHATSRV_START_FAIL	FAIL: Chat service -Khëi ®éng thÊt b¹i!
LOC_L_TONGSRV_START_FAIL	FAIL: Bang héi service - Khëi ®éng thÊt b¹i!
LOC_L_TONGSET_INIT_OK	M«-®un bang héi - §Æt nÒn mãng thµnh c«ng
LOC_L_TONGSET_INIT_FAILED	FAIL: m«-®un bang héi - ®Æt nÒn mãng thÊt b¹i!
LOC_L_TONGSVR_NEW_CONNECT	Servive bang héi - thiÕt lËp kÕt nèi víi ip:%s
LOC_L_TONGSVR_CLOSE_CONNECT	Servive bang héi - ®ãng kÕt nèi víi ip:%s
LOC_L_TONG_CREATE_ONE	Bang héi- [%s] thµnh lËp [%s] thµnh c«ng.
LOC_L_TONG_CREATE_ONE_FAIL	FAIL: Bang héi- [%s] thµnh lËp [%s] thÊt b¹i.
LOC_L_TONGDB_STORE_BRIEF_BEGIN	Kho d÷ liÖu bang héi - b¶o l­u tin tøc bang héi b¾t ®Çu
LOC_L_TONGDB_STORE_BRIEF_SUCCESS	Kho d÷ liÖu bang héi - b¶o l­u tin tøc bang héi thµnh c«ng
LOC_L_TONGDB_STORE_BRIEF_FAILED	Kho d÷ liÖu bang héi - b¶o l­u tin tøc bang héi [%s] thÊt b¹i!
LOC_L_TONGDB_STORE_MEMBER_BEGIN	Kho d÷ liÖu bang héi - b¶o l­u tin tøc thµnh viªn b¾t ®Çu
LOC_L_TONGDB_STORE_MEMBER_SUCCESS	Kho d÷ liÖu bang héi - b¶o l­u tin tøc thµnh viªn thµnh c«ng
LOC_L_TONGDB_STORE_MEMBER_FAILED	Kho d÷ liÖu bang héi - b¶o l­u tin tøc thµnh viªn  [%s] thÊt b¹i!
LOC_L_TONGDB_OPEN_FAILED	FAIL: Më kho d÷ liÖu bang héi thÊt b¹i!
LOC_L_TONGDB_FLUSH_SUCCESS	Kho d÷ liÖu bang héi - Refresh thµnh c«ng.
LOC_L_TONGDB_FLUSH_FAILED	Kho d÷ liÖu bang héi - Refresh thÊt b¹i.
LOC_L_TONGDB_BACKUP_BEING	Kho d÷ liÖu bang héi - B¾t ®Çu qu¸ tr×nh backup...
LOC_L_TONGDB_BACKUP_FAILED	Kho d÷ liÖu bang héi_Backup_Ph¸t sinh lçi!
LOC_L_TONGDB_BACKUP_SUCCESS	Kho d÷ liÖu bang héi_Backup_Thµnh c«ng.
LOC_L_TONGDB_BACKUP_OPEN_ORIG_FAIL	Kho d÷ liÖu bang héi_Backup_Më kho d÷ liÖu tr­íc ®©y thÊt b¹i!
LOC_L_TONGDB_BACKUP_OPEN_BK_FAIL	Kho d÷ liÖu bang héi_Backup_ThiÕt lËp kho backup thÊt b¹i!
LOC_L_TONGDB_BACKUP_ACCE_TONG_FAIL	Kho d÷ liÖu bang héi_Backup_Muèn dß xÐt tin tøc tr­íc ®ã cña bang héi thÊt b¹i!
LOC_L_TONGDB_BACKUP_COPY_TONG_FAIL	Kho d÷ liÖu bang héi_Backup_Phôc håi d÷ liÖu bang héi [%s] ph¸t sinh lçi!
LOC_L_TONGDB_BACKUP_ERR_TONG	Kho d÷ liÖu bang héi_Backup_Bang héi ®ang bÞ lçi [%s] !
LOC_L_TONGDB_BACKUP_ACCE_MEMB_FAIL	Kho d÷ liÖu bang héi_Backup_Muèn t×m kho d÷ liÖu thµnh viªn cò thÊt b¹i!
LOC_L_TONGDB_BACKUP_COPY_MEMB_FAIL	Kho d÷ liÖu bang héi_Backup_Phôc håi thµnh viªn bang héi [%s] ph¸t sinh lçi!
LOC_L_TONGDB_BACKUP_ERR_MEMB	Kho d÷ liÖu bang héi_Backup_Thµnh viªn bang héi [%s] ®ang bÞ lçi!
LOC_L_PR_ERROR_RELATION_RECORD	Quan hÖ ng­êi ch¬i_Lçi ph¸t sinh khi ®ang t¶i d÷ liÖu [%s].
LOC_L_PR_NOT_ON_LINE_WHEN_ADD_RELA	Quan hÖ ng­êi ch¬i_[%s] vµ [%s] thiÕt lËp quan hÖ [%s], ng­êi ®øng tr­íc kh«ng trªn m¹ng.
LOC_L_PR_MATE_NOT_MATCH	Quan hÖ ng­êi ch¬i_Quan hÖ phèi ngÉu cña [%s] vµ [%s] kh«ng phï hîp.
LOC_L_HOSTCONNECT_RECV_UNKNOW_PKG	C¶nh c¸o: Liªn kÕt host tiÕp nhËn gãi d÷ liÖu kh«ng râ nguån gèc (%d).
LOC_L_BACKUP_FINISHED	Thùc thi backup toµn bé d÷ liÖu ®· hoµn tÊt mét c¸ch thµnh c«ng.
LOC_L_BACKUP_FINISHED_FAILED	Thùc thi backup toµn bé hoµn tÊt, trong qu¸ tr×nh backup ph¸t sinh lçi!
LOC_L_NEWTONG_INIT_FAILED	§Æt nÒn mãng hÖ thèng bang héi míi thÊt b¹i! Xin kiÓm tra Settings File!
LOC_L_GM_SYSTEM_RELOAD_SELECT_SCRIPTS	§äc l¹i Script file t¹i n¬i chØ ®Þnh trªn Server.
LOC_L_GM_SYSTEM_RELOAD_OPENLIMIT_FILE	§äc l¹i configuration file më chøc n¨ng tõ Server.
LOC_L_GM_SYSTEM_RELOAD_VERSION_FILE	B¾t ®Çu t¶i l¹i file.
LOC_L_ACC_ROLE_FAC_LEV_MON	Tªn tµi kho¶n\t Tªn nh©n vËt\t M«n ph¸i\t §¼ng cÊp\t Ng©n l­îng\t tiÓu ng©n phiÕu\t ®¹i ng©n phiÕu\t tiÓu ng©n phiÕu kh¸c th­êng\t ®¹i ng©n phiÕu kh¸c th­êng
LOC_L_RECORDING_PLAYER_10M_MON	§ang log ng­êi ch¬i cã ng©n l­îng trªn 1000 v¹n
LOC_L_CRC_ERROR	**Lçi CRC** 
LOC_L_ROLE_DATA_ERROR	**Lçi d÷ liÖu nh©n vËt** 
LOC_L_OUTPUT_END	XuÊt d÷ liÖu hoµn tÊt
LOC_L_DATA_STAT	Thèng kª d÷ liÖu
LOC_L_TOTAL_ROLE_COUNT	Tæng sè ng­êi:
LOC_L_ROLE_COUNT	Sè ng­êi:
LOC_L_TOTAL_MONEY_COUNT	Tæng sè tiÒn:
LOC_L_TOTAL_LITTLE_YINPIAO_COUNT	Tæng sè tiÓu ng©n phiÕu cò: 
LOC_L_TOTAL_BIG_YINPIAO_COUNT	Tæng sè ®¹i ng©n phiÕu cò
LOC_L_TOTAL_NEW_LITTLE_YINPIAO_COUNT	Tæng sè Ng©n phiÕu nhá míi:
LOC_L_TOTAL_NEW_BIG_YINPIAO_COUNT	Tæng sè Ng©n phiÕu lín míi:
LOC_L_TOTAL_ERROR_LITTLE_YINPIAO_COUNT	Tæng sè Ng©n phiÕu nhá dÞ th­êng:
LOC_L_TOTAL_ERROR_BIG_YINPIAO_COUNT	Tæng sè Ng©n phiÕu lín dÞ th­êng:
LOC_L_MONEY_COUNT	Sè tiÒn:
LOC_L_ROLE_DISTRIB_BY_LEV	Ph©n bè cÊp ®é nh©n vËt
LOC_L_ROLE_COUNT_BY_LEV	(cÊp) Sè ng­êi:
LOC_L_ROLE_COUNT_BY_ABNORM_LEV	Sè ng­êi cÊp cao bÊt th­êng
LOC_L_CHECK_ROLE_LIST	, xin h·y kiÓm tra l¹i trong danh s¸ch nh©n vËt cã bÞ Lçi d÷ liÖu nh©n vËt hay kh«ng
LOC_L_ROLE_SORT_STAT	H¹ng:
LOC_L_ACC	Tµi kho¶n
LOC_L_NAME	Tªn
LOC_L_FACTION1	M«n ph¸i
LOC_L_LEVEL	CÊp
LOC_L_MONEY	TiÒn trªn ng­êi
LOC_L_YINPAO_S	TiÓu phiÕu cò
LOC_L_YINPAO_L	§¹i phiÕu cò
LOC_L_NEW_YINPAO_S	Ng©n phiÕu nhá míi
LOC_L_NEW_YINPAO_L	Ng©n phiÕu lín míi
LOC_L_YINPAO_S1	TiÓu ng©n phiÕu dÞ th­êng
LOC_L_YINPAO_L1	§¹i ng©n phiÕu dÞ th­êng
LOC_L_EXP	Kinh nghiÖm
LOC_L_NOT_IN_FAC	Ngoµi thµnh
LOC_L_FACTION	_______________ m«n ph¸i
LOC_L_CAMP	_______________ Phe
LOC_L_LEV_SORT	 XÕp h¹ng ®¼ng cÊp
LOC_L_MONEY_SORT	 XÕp h¹ng ng©n l­îng
LOC_L_ROLE_COUNT_IN_FACTION	Sè ng­êi ch¬i cña c¸c m«n ph¸i
LOC_L_MONEY_SORT_MOST	Thø h¹ng phó hé 
LOC_L_ROLE_RATE_IN_FACTION	 Tû lÖ c¸c m«n ph¸i mµ ng­êi ch¬i gia nhËp
LOC_L_LEVEL_SORT_MOST	Thø h¹ng ®¼ng cÊp 
LOC_L_STAT_END	Thèng kª kÕt thóc, thêi gian:
LOC_L_ERR_IN_STATISTIC	!!!D÷ liÖu bÞ lçi trong qu¸ tr×nh thèng kª!! Trong tËp tin nµy ph¸t hiÖn d÷ liÖu nh©n vËt bÞ lçi, lçi kh«ng x¸c ®Þnh.
LOC_L_DEL_ROLE_FORMAT	*%s* nh©n vËt:%s. §¼ng cÊp: %i, Thêi gian xãa:%i.%i.%i %i:%i:%i
LOC_L_TIME	 thêi gian 
LOC_L_CHR_COUNT	Tæng sè nh©n vËt
LOC_L_FREEZE_COUNT	Sè lÇn ®ãng b¨ng
LOC_L_LEVEL1	CÊp %d
LOC_K_ERROR	Lçi
LOC_G_FN_BEGINNER	V« m«n ph¸i
LOC_G_FN_SHAOLIN	ThiÕu L©m
LOC_G_FN_WUDAN	Vâ §ang
LOC_G_FN_EMEI	Nga My
LOC_G_FN_GAIBANG	C¸i Bang
LOC_G_FN_TANGMEN	§­êng M«n
LOC_G_FN_TIANBO	Thiªn Ba
LOC_G_FN_WUDU	Ngò §éc
LOC_G_FN_KUNLUN	C«n L«n
LOC_G_FN_MINGJIAO	Minh gi¸o
LOC_G_FN_CUIYAN	Thóy Yªn
LOC_G_FP_NONE	V« m«n ph¸i  
LOC_G_FP_SHAOLIN	ThiÕu L©m ch­a b¸i s­
LOC_G_FP_SHAOLIN_EARTHLY	ThiÕu L©m tôc gia  
LOC_G_FP_SHAOLIN_ZEN_MONK	ThiÕu L©m thiÒn t¨ng  
LOC_G_FP_SHAOLIN_FIGHT_MONK	ThiÕu L©m vâ t¨ng  
LOC_G_FP_TANGMEN	§­êng M«n ch­a b¸i s­
LOC_G_FP_TANGMEN_NORMAL	§­êng M«n phæ th«ng  
LOC_G_FP_EMEI	Nga My ch­a b¸i s­
LOC_G_FP_EMEI_PRIESTESS	Nga My xuÊt gia  
LOC_G_FP_EMEI_EARTHLY	Nga My tôc gia  
LOC_G_FP_GAIBANG	C¸i Bang ch­a b¸i s­
LOC_G_FP_GAIBANG_CLEAN	C¸i Bang TÜnh y  
LOC_G_FP_GAIBANG_DIRTY	C¸i Bang ¤ Y  
LOC_G_FP_WUDANG	Vâ §ang ch­a b¸i s­
LOC_G_FP_WUDANG_TAOIST	Vâ §ang ®¹o gia  
LOC_G_FP_WUDANG_EARTHLY	Vâ §ang tôc gia  
LOC_G_FP_YANGMEN	D­¬ng M«n ch­a b¸i s­
LOC_G_FP_YANGMEN_SPEAR	D­¬ng M«n th­¬ng Kþ  
LOC_G_FP_YANGMEN_BOW	D­¬ng M«n Cung Kþ  
LOC_G_FP_WUDU	Ngò §éc ch­a b¸i s­
LOC_G_FP_WUDU_EVIL	HiÖp §éc  
LOC_G_FP_WUDU_GU	Tµ §éc  
LOC_G_FP_KUNLUN	C«n L«n ch­a b¸i s­
LOC_G_FP_KUNLUN_TIANSHI	C«n L«n Thiªn S­  
LOC_G_FP_MINGJIAO	Minh Gi¸o ch­a b¸i s­
LOC_G_FP_MINGJIAO_SHENGZHAN	Minh Gi¸o Th¸nh ChiÕn  
LOC_G_FP_MINGJIAO_ZHENBING	Minh Gi¸o TrËn Binh  
LOC_G_FP_MINGJIAO_XUEREN	Minh Gi¸o HuyÕt Nh©n  
LOC_G_FP_CUIYAN	Thóy Yªn ch­a b¸i s­
LOC_G_FP_CUIYAN_DANCER	Thóy Yªn Vò Tiªn  
LOC_G_FP_CUIYAN_LINGNV	Thóy Yªn Linh N÷  
LOC_G_LEVEL_DISTRIBUTE	Ph©n bè tr­êng ph¸i ®¼ng cÊp
LOC_G_LOGIN_DISTRIBUTE	Ph©n bè ®¨ng nhËp
LOC_G_FIRST_LOGIN_DISTRIBUTE	Ph©n bè ®¨ng nhËp lÇn ®Çu
LOC_G_NOT_IN_A_WEEK	Ph©n bè nh©n vËt ®óng 1 th¸ng kh«ng ®¨ng nhËp trß ch¬i.
LOC_G_NOT_IN_WEEK_TO_MONTH	Ph©n bè nh©n vËt tõ 1 tuÇn ®Õn 1 th¸ng kh«ng ®¨ng nhËp trß ch¬i.
LOC_G_NOT_IN_A_MONTH	Ph©n bè nh©n vËt ®óng 1 tuÇn kh«ng ®¨ng nhËp trß ch¬i.
LOC_G_NOT_IN_MONTH_LATER	Ph©n bè nh©n vËt 1 th¸ng trë lªn kh«ng ®¨ng nhËp trß ch¬i.
LOC_SECT_NAME_1_	V« m«n ph¸i
LOC_SECT_NAME_2_	ThiÕu L©m
LOC_SECT_NAME_3_	Vâ §ang
LOC_SECT_NAME_4_	Nga My
LOC_SECT_NAME_5_	C¸i Bang
LOC_SECT_NAME_6_	§­êng M«n
LOC_SECT_NAME_7_	Thiªn Ba Phñ
LOC_SECT_NAME_8_	Ngò §éc Gi¸o
LOC_SECT_NAME_9_	C«n L«n Ph¸i
LOC_SECT_NAME_10_	Minh gi¸o
LOC_SECT_NAME_11_	Thóy Yªn M«n
LOC_ROUTE_NONE_	V« m«n ph¸i  
LOC_ROUTE_SL_	ThiÕu L©m ch­a b¸i s­
LOC_ROUTE_SLS_	ThiÕu L©m tôc gia  
LOC_ROUTE_SLC_	ThiÕu L©m thiÒn t¨ng  
LOC_ROUTE_SLW_	ThiÕu L©m vâ t¨ng  
LOC_ROUTE_TM_NO_	§­êng M«n ch­a b¸i s­
LOC_ROUTE_TM_YES_	§­êng M«n phæ th«ng  
LOC_ROUTE_EM_	Nga My ch­a b¸i s­
LOC_ROUTE_EMF_	Nga My xuÊt gia  
LOC_ROUTE_EMS_	Nga My tôc gia  
LOC_ROUTE_GB_	C¸i Bang ch­a b¸i s­
LOC_ROUTE_GBJ_	C¸i Bang TÜnh y  
LOC_ROUTE_GBW_	C¸i Bang ¤ Y  
LOC_ROUTE_WD_	Vâ §ang ch­a b¸i s­
LOC_ROUTE_WDD_	Vâ §ang ®¹o gia  
LOC_ROUTE_WDS_	Vâ §ang tôc gia  
LOC_ROUTE_YM_	D­¬ng M«n ch­a b¸i s­
LOC_ROUTE_YMQ_	D­¬ng M«n th­¬ng Kþ  
LOC_ROUTE_YMG_	D­¬ng M«n Cung Kþ  
LOC_ROUTE_WUDU_	Ngò §éc      
LOC_ROUTE_WUDU_XIE_	HiÖp §éc  
LOC_ROUTE_WUDU_GU_	Tµ §éc  
LOC_ROUTE_KUNLUN_	C«n L«n ch­a b¸i s­
LOC_ROUTE_KUNLUN_TIANSHI_	C«n L«n Thiªn S­  
LOC_ROUTE_MINGJIAO_	Minh Gi¸o ch­a b¸i s­
LOC_ROUTE_MINGJIAO_SHENGZHAN_	Minh Gi¸o Th¸nh ChiÕn  
LOC_ROUTE_MINGJIAO_ZHENBING_	Minh Gi¸o TrËn Binh  
LOC_ROUTE_MINGJIAO_XUEREN_	Minh Gi¸o HuyÕt Nh©n  
LOC_ROUTE_CUIYAN_	Thóy Yªn ch­a b¸i s­
LOC_ROUTE_CUIYAN_DANCER_	Thóy Yªn Vò Tiªn  
LOC_ROUTE_CUIYAN_LINGNV_	Thóy Yªn Linh N÷  
LOC_ROUTE_TM_REN_	§­êng M«n NhËm HiÖp  
LOC_ROUTE_KUNLUN_JIANZUN_	C«n L«n KiÕm T«n  
LOC_GOLDCOIN_TRADE_MAIL_SUCCESSFUL_TEXT	B¹n vµ %s giao dÞch thµnh c«ng, h·y nhËn vËt phÈm giao dÞch.
LOC_GOLDCOIN_TRADE_MAIL_UNSUCCESSFUL_TEXT	B¹n vµ %s giao dÞch thÊt b¹i, h·y nhËn l¹i vËt phÈm ®· giao dÞch.
LOG_GOLDCOIN_TRADE_MAIL_SUBJECT	Giao dÞch tiÒn xu thµnh c«ng!
LOG_GOLDCOIN_TRADE_UNSUCCESSFUL_MAIL_SUBJECT	Giao dÞch tiÒn xu thÊt b¹i!
LOC_RELAY_A_TREASURE_DESC_BAGUA_ITEM	Bé b¸t qu¸i
LOC_RELAY_A_TREASURE_DESC_MONEY	TiÒn vâ l©m
LOC_RELAY_A_TREASURE_DESC_BIG_YINGPIAO	§¹i ng©n phiÕu
LOC_RELAY_A_TREASURE_DESC_SMALL_YINPIAO	tiÓu ng©n phiÕu
LOC_RELAY_A_TREASURE_DESC_SCRIPT	KÞch b¶n
LOC_RELAY_A_TREASURE_DESC_GOLDCOIN	Xu
