Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"Phßng ngù (Néi, ngo¹i)"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Long T­¬ng T­íng Qu©n Hæ Phï	0	102	1731	10	10000	0	100						17031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n Hæ Phï	0	102	1732	10	10000	0	100						17032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n Hæ Phï	0	102	1733	10	10000	0	100						17033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n Hæ Phï	0	102	1734	10	10000	0	100						17034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n LÖnh Kú	0	102	1735	10	10000	0	100						17031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n LÖnh Kú	0	102	1736	10	10000	0	100						17032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n LÖnh Kú	0	102	1737	10	10000	0	100						17033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Long T­¬ng T­íng Qu©n LÖnh Kú	0	102	1738	10	10000	0	100						17034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì1a1.spr	\image\item\ring\½«¾üÁîÆì1a0.spr	"D­¬ng M«n th­¬ng ph¸p, danh chÊn thiªn h¹, ®­îc ban Ng¹o Khİ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	17	0					
Hæ Dùc T­íng Qu©n Hæ Phï	0	102	1831	10	10000	0	100						18031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n Hæ Phï	0	102	1832	10	10000	0	100						18032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n Hæ Phï	0	102	1833	10	10000	0	100						18033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n Hæ Phï	0	102	1834	10	10000	0	100						18034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾ü½«Áî3a1.spr	\image\item\ring\½«¾ü½«Áî3a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ Hæ Phï"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n LÖnh Kú	0	102	1835	10	10000	0	100						18031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì2a1.spr	\image\item\ring\½«¾üÁîÆì2a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n LÖnh Kú	0	102	1836	10	10000	0	100						18032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì2a1.spr	\image\item\ring\½«¾üÁîÆì2a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n LÖnh Kú	0	102	1837	10	10000	0	100						18033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì2a1.spr	\image\item\ring\½«¾üÁîÆì2a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
Hæ Dùc T­íng Qu©n LÖnh Kú	0	102	1838	10	10000	0	100						18034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\½«¾üÁîÆì2a1.spr	\image\item\ring\½«¾üÁîÆì2a0.spr	"D­¬ng M«n cung kş, b¸ch bé xuyªn t©m, ®­îc ban M·nh SÜ LÖnh Kú"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	18	0					
U Minh Quû S¸t Tu La HuyÕt Giíi	0	102	2031	10	10000	0	100						20031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La HuyÕt Giíi	0	102	2032	10	10000	0	100						20032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La HuyÕt Giíi	0	102	2033	10	10000	0	100						20033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La HuyÕt Giíi	0	102	2034	10	10000	0	100						20034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La H¾c Giíi	0	102	2035	10	10000	0	100						20031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La H¾c Giíi	0	102	2036	10	10000	0	100						20032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La H¾c Giíi	0	102	2037	10	10000	0	100						20033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
U Minh Quû S¸t Tu La H¾c Giíi	0	102	2038	10	10000	0	100						20034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc tµ hiÖp, tu luyÖn ©m hån, ®­îc ban Tu La H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	20	0					
V« §éng La S¸t TrÊm HuyÕt Giíi	0	102	2131	10	10000	0	100						21031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt Giíi	0	102	2132	10	10000	0	100						21032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt Giíi	0	102	2133	10	10000	0	100						21033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt Giíi	0	102	2134	10	10000	0	100						21034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm HuyÕt Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt H¾c Giíi	0	102	2135	10	10000	0	100						21031	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt H¾c Giíi	0	102	2136	10	10000	0	100						21032	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt H¾c Giíi	0	102	2137	10	10000	0	100						21033	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
V« §éng La S¸t TrÊm HuyÕt H¾c Giíi	0	102	2138	10	10000	0	100						21034	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_018a1.spr	\image\item\ring\ring_018a0.spr	"Ngò §éc cæ s­, chuyªn ®i bá ®éc, ®­îc ban TrÈm H¾c Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	21	0					
Tiªu Dao ThÇn Sø - K×nh Phong B¶o Giíi	0	102	25131	10	5000	0	100						25131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong B¶o Giíi	0	102	25132	10	5000	0	100						25132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong B¶o Giíi	0	102	25133	10	5000	0	100						25133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong B¶o Giíi	0	102	25134	10	5000	0	100						25134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong Ngäc Giíi	0	102	25135	10	5000	0	100						25131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn Ngäc cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong Ngäc Giíi	0	102	25136	10	5000	0	100						25132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn Ngäc cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong Ngäc Giíi	0	102	25137	10	5000	0	100						25133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn Ngäc cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Tiªu Dao ThÇn Sø - K×nh Phong Ngäc Giíi	0	102	25138	10	5000	0	100						25134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"Tiªu Dao ThÇn Sø ®Õn ®i nh­ giã, NhÉn Ngäc cña «ng ®­îc gäi lµ K×nh Phong ."		§· khãa		9	2	1	25	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Giíi	0	102	26131	10	5000	0	100						26131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Qóy mµ Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Giíi	0	102	26132	10	5000	0	100						26132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Qóy mµ Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Giíi	0	102	26133	10	5000	0	100						26133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Qóy mµ Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa B¶o Giíi	0	102	26134	10	5000	0	100						26134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Qóy mµ Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa Kim Giíi	0	102	26135	10	5000	0	100						26131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Vµng Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa Kim Giíi	0	102	26136	10	5000	0	100						26132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Vµng Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa Kim Giíi	0	102	26137	10	5000	0	100						26133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Vµng Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
Thiªn Cuång §¹i T­íng - Th¸nh Háa Kim Giíi	0	102	26138	10	5000	0	100						26134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"§èt th©n ta, b»ng Th¸nh Háa, sinh cã g× vui, chÕt cã g× khæ, chÕt cã g× sî.NhÉn Vµng Thiªn Cuång §¹i T­íng ®eo, lÊy Th¸nh Háa lµm tªn."		§· khãa		9	2	1	26	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Thóy Giíi	0	102	27131	10	5000	0	100						27131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Thóy cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Thóy Giíi	0	102	27132	10	5000	0	100						27132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Thóy cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Thóy Giíi	0	102	27133	10	5000	0	100						27133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Thóy cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Thóy Giíi	0	102	27134	10	5000	0	100						27134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Thóy cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Ngäc Giíi	0	102	27135	10	5000	0	100						27131	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Ngäc cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Ngäc Giíi	0	102	27136	10	5000	0	100						27132	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Ngäc cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Ngäc Giíi	0	102	27137	10	5000	0	100						27133	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Ngäc cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
NguyÖt ¶nh Ma T«n - Cæ Mé Ngäc Giíi	0	102	27138	10	5000	0	100						27134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_012a1.spr	\image\item\ring\ring_012a0.spr	"NguyÖt nh Ma T«n trong cæ mé bÊt ngê cã ®­îc Vâ C«ng MËt TŞch, luyÖn thµnh Cöu D­¬ng ThÇn C«ng, ®­îc t«n lµm Gi¸o Chñ, NhÉn Ngäc cña «ng lÊy Cæ Mé lµm tªn, ®Ó lµm kû niÖm."		§· khãa		9	2	1	27	0	999				
§¹t Ma Thñ To¹ §Õ Thİch Ban ChØ	0	102	241	10	10000	0	100						2041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"ThiÕu L©m tôc gia ®Ö tö, ch­ëng qu¶n ThiÕu L©m 72 tuyÖt kü, ®­îc ban §Õ Thİch Ban Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	2	0					
§¹t Ma Thñ To¹ §Õ Thİch Ban ChØ	0	102	242	10	10000	0	100						2042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\ring_017a1.spr	\image\item\ring\ring_017a0.spr	"ThiÕu L©m tôc gia ®Ö tö, ch­ëng qu¶n ThiÕu L©m 72 tuyÖt kü, ®­îc ban §Õ Thİch Ban Giíi"		§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	2	0					
