T©n Y phôc	Lo¹i h×nh chÝnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tÝnh hç trî 1	TrÞ sè Thuéc tÝnh hç trî 1	Thuéc tÝnh hç trî 2	TrÞ sè Thuéc tÝnh hç trî 2	"Biªn hiÖu bé trang bÞ ( 1-10 m«n ph¸1, 11- hîp thÓ trang bÞ)"	§¾ng cÊp yªu cÇu	Giíi tÝnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàÐÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thÞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	"Cã/kh«ng thÓ giao dÞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chÝ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	457	10	0	0	100						4	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	¿ýÎàÄÐåÐÒ£ÒÂÀ¶	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	458	10	0	0	100						5	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	¿ýÎàÄÐåÐÒ£ÒÂÀ¶	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	459	10	0	0	100						6	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	¿ýÎàÄÐåÐÒ£ÒÂÀ¶	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	460	10	0	0	100						7	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	¿ýÎàÄÐåÐÒ£ÒÂÀ¶	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	461	10	0	0	100						1	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	462	10	0	0	100						2	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	463	10	0	0	100						4	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	464	10	0	0	100						5	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	465	10	0	0	100						6	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	466	10	0	0	100						7	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	467	10	0	0	100						1	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	468	10	0	0	100						2	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	469	10	0	0	100						4	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	470	10	0	0	100						5	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	471	10	0	0	100						6	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	472	10	0	0	100						7	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (®en huyÒn bÝ)	0	109	473	10	0	0	300						11	10	1	1		\image\item\cloth\åÐÒ£ÉÑ±ê×¼a1.spr	\image\item\cloth\åÐÒ£ÉÑ±ê×¼a0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu ®en huyÒn bÝ."	±ê×¼ÄÐåÐÒ£ÒÂºÚ2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (®en huyÒn bÝ)	0	109	474	10	0	0	300						11	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu ®en huyÒn bÝ."	¿ýÎàÄÐåÐÒ£ÒÂºÚ2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (tÝm sang träng)	0	109	475	10	0	0	300						11	10	1	1		\image\item\cloth\åÐÒ£ÉÑ±ê×¼a1.spr	\image\item\cloth\åÐÒ£ÉÑ±ê×¼a0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu tÝm sang träng."	±ê×¼ÄÐåÐÒ£ÒÂ×Ï2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (tÝm sang träng)	0	109	476	10	0	0	300						11	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu tÝm sang träng."	¿ýÎàÄÐåÐÒ£ÒÂ×Ï2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	477	10	0	0	300						11	10	1	1		\image\item\cloth\åÐÒ£ÉÑ±ê×¼a1.spr	\image\item\cloth\åÐÒ£ÉÑ±ê×¼a0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	±ê×¼ÄÐåÐÒ£ÒÂÀ¶2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lam phiªu dËt)	0	109	478	10	0	0	300						11	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lam phiªu dËt."	¿ýÎàÄÐåÐÒ£ÒÂÀ¶2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	479	10	0	0	300						11	10	1	1		\image\item\cloth\åÐÒ£ÉÑ±ê×¼a1.spr	\image\item\cloth\åÐÒ£ÉÑ±ê×¼a0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	±ê×¼ÄÐåÐÒ£ÒÂÂÌ2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (lôc phãng kho¸ng)	0	109	480	10	0	0	300						11	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu lôc phãng kho¸ng."	¿ýÎàÄÐåÐÒ£ÒÂÂÌ2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	481	10	0	0	300						11	10	1	1		\image\item\cloth\åÐÒ£ÉÑ±ê×¼a1.spr	\image\item\cloth\åÐÒ£ÉÑ±ê×¼a0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	±ê×¼ÄÐåÐÒ£ÒÂ×Ø2	§· khãa		1	2	1		0																																																																		
Tiªu Dao Th­êng (n©u)	0	109	482	10	0	0	300						11	10	1	2		\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa1.spr	\image\item\cloth\åÐÒ£ÉÑ¿ýÎàa0.spr	"Tiªu Dao Th­êng, trang phôc nam mµu n©u b×nh dÞ."	¿ýÎàÄÐåÐÒ£ÒÂ×Ø2	§· khãa		1	2	1		0																																																																		
T­¬ng D­¬ng Th­îng y ngo¹i trang	0	109	483	10	0	0	100							10	1	1		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		±ê×¼ÄÐ¹¥³ÇÒÂºì	§· khãa		1	2	1		0																																																																		
T­¬ng D­¬ng Th­îng y ngo¹i trang	0	109	484	10	0	0	100							10	1	2		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		¿ýÎàÄÐ¹¥³ÇÒÂºì	§· khãa		1	2	1		0																																																																		
T­¬ng D­¬ng Th­îng y ngo¹i trang	0	109	485	10	0	0	100							10	2	3		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		ÐÔ¸ÐÅ®¹¥³ÇÒÂºì	§· khãa		1	2	1		0																																																																		
T­¬ng D­¬ng Th­îng y ngo¹i trang	0	109	486	10	0	0	100							10	2	4		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		½¿Ð¡Å®¹¥³ÇÒÂºì	§· khãa		1	2	1		0																																																																		
TuyÒn Ch©u Th­îng y ngo¹i trang.	0	109	487	10	0	0	100							10	1	1		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		±ê×¼ÄÐ¹¥³ÇÒÂÀ¶	§· khãa		1	2	1		0																																																																		
TuyÒn Ch©u Th­îng y ngo¹i trang.	0	109	488	10	0	0	100							10	1	2		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		¿ýÎàÄÐ¹¥³ÇÒÂÀ¶	§· khãa		1	2	1		0																																																																		
TuyÒn Ch©u Th­îng y ngo¹i trang.	0	109	489	10	0	0	100							10	2	3		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		ÐÔ¸ÐÅ®¹¥³ÇÒÂÀ¶	§· khãa		1	2	1		0																																																																		
TuyÒn Ch©u Th­îng y ngo¹i trang.	0	109	490	10	0	0	100							10	2	4		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		½¿Ð¡Å®¹¥³ÇÒÂÀ¶	§· khãa		1	2	1		0																																																																		
Thµnh §« Th­îng y ngo¹i trang.	0	109	491	10	0	0	100							10	1	1		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		±ê×¼ÄÐ¹¥³ÇÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Thµnh §« Th­îng y ngo¹i trang.	0	109	492	10	0	0	100							10	1	2		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		¿ýÎàÄÐ¹¥³ÇÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Thµnh §« Th­îng y ngo¹i trang.	0	109	493	10	0	0	100							10	2	3		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		ÐÔ¸ÐÅ®¹¥³ÇÒÂÂÌ	§· khãa		1	2	1		0																																																																		
Thµnh §« Th­îng y ngo¹i trang.	0	109	494	10	0	0	100							10	2	4		\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa1.spr	\image\item\cloth\¹¥³ÇÍâ×°ÉÏÒÂa0.spr		½¿Ð¡Å®¹¥³ÇÒÂÂÌ	§· khãa		1	2	1		0																																																																		
T©n Nguyªn ngo¹i trang	0	109	495	10	0	0	300						11	10	1	1		\image\item\cloth\1nan36.spr	\image\item\cloth\1nan120.spr	"Ngo¹i trang n¨m míi cña nam, cì chuÈn."	±ê×¼ÄÐÊ¥µ®ÆÕÍ¨	Th­îng y		1	2	1		0																																																																		
T©n Nguyªn ngo¹i trang	0	109	496	10	0	0	300						11	10	1	2		\image\item\cloth\1nan36.spr	\image\item\cloth\1nan120.spr	"Ngo¹i trang n¨m míi cña nam, cì lín."	¿ýÎàÄÐÊ¥µ®ÆÕÍ¨	Th­îng y		1	2	1		0																																																																		
T©n Nguyªn ngo¹i trang	0	109	497	10	0	0	300						11	10	2	3		\image\item\cloth\nva36.spr	\image\item\cloth\nva120.spr	Ngo¹i trang n¨m míi cña n÷ gîi c¶m.	ÐÔ¸ÐÅ®Ê¥µ®ÆÕÍ¨	Th­îng y		1	2	1		0																																																																		
T©n Nguyªn ngo¹i trang	0	109	498	10	0	0	300						11	10	2	4		\image\item\cloth\nva36.spr	\image\item\cloth\nva120.spr	Ngo¹i trang n¨m míi cña n÷ nhá nh¾n.	½¿Ð¡Å®Ê¥µ®ÆÕÍ¨	Th­îng y		1	2	1		0																																																																		
TriÒu Hoa ngo¹i trang	0	109	499	10	0	0	300						11	10	1	1		\image\item\cloth\2nan36.spr	\image\item\cloth\2nan120.spr	"Ngo¹i trang hoa lÖ n¨m míi cña nam, cì chuÈn"	±ê×¼ÄÐÊ¥µ®»ªÀö	Th­îng y		1	2	1		0																																																																		
TriÒu Hoa ngo¹i trang	0	109	500	10	0	0	300						11	10	1	2		\image\item\cloth\2nan36.spr	\image\item\cloth\2nan120.spr	"Ngo¹i trang hoa lÖ n¨m míi cña nam, cì lín"	¿ýÎàÄÐÊ¥µ®»ªÀö	Th­îng y		1	2	1		0																																																																		
TriÒu Hoa ngo¹i trang	0	109	501	10	0	0	300						11	10	2	3		\image\item\cloth\nvb36.spr	\image\item\cloth\nvb120.spr	Ngo¹i trang hoa lÖ n¨m míi cña n÷ gîi c¶m.	ÐÔ¸ÐÅ®Ê¥µ®»ªÀö	Th­îng y		1	2	1		0																																																																		
TriÒu Hoa ngo¹i trang	0	109	502	10	0	0	300						11	10	2	4		\image\item\cloth\nvb36.spr	\image\item\cloth\nvb120.spr	Ngo¹i trang hoa lÖ n¨m míi cña n÷ nhá nh¾n.	½¿Ð¡Å®Ê¥µ®»ªÀö	Th­îng y		1	2	1		0																																																																		
Tiªm Vò Th­êng	0	109	503	10	0	0	300							10	2	3		\image\item\cloth\ÏËÓðÉÑ(ÐÔ¸Ð)a1.spr	\image\item\cloth\ÏËÓðÉÑ(ÐÔ¸Ð)a0.spr		ÐÔ¸ÐÅ®ÏËÓðÉÑ	§· khãa		1	2	1		0																																																																		
Tiªm Vò Th­êng	0	109	504	10	0	0	300							10	2	4		\image\item\cloth\ÏËÓðÉÑ(½¿Ð¡)a1.spr	\image\item\cloth\ÏËÓðÉÑ(½¿Ð¡)a0.spr		½¿Ð¡Å®ÏËÓðÉÑ	§· khãa		1	2	1		0																																																																		
Tiªm Vò trang	0	109	505	10	0	0	300						11	10	1	1		\image\item\cloth\ÏËÓð×°(±ê×¼)a1.spr	\image\item\cloth\ÏËÓð×°(±ê×¼)a0.spr		±ê×¼ÄÐÏËÓð×°	§· khãa		1	2	1		0																																																																		
Tiªm Vò trang	0	109	506	10	0	0	300						11	10	1	2		\image\item\cloth\ÏËÓð×°(¿ýÎà)a1.spr	\image\item\cloth\ÏËÓð×°(¿ýÎà)a0.spr		¿ýÎàÄÐÏËÓð×°	§· khãa		1	2	1		0																																																																		
Bµo §­êng B¶o Y	0	109	510	10	0	0	300							10	1	1		\image\item\cloth\¶ËÎçÍâ×°±êÄÐÒÂa1.spr	\image\item\cloth\¶ËÎçÍâ×°±êÄÐÒÂa0.spr	T­¬ng truyÒn nhê mÆc b¶o y nµy mµ tµi nghÖ nÊu bÕp t¨ng lªn cßn kiªm lu«n bÕp tr­ëng	±ê×¼ÄÐ¿ÍÕ»ÒÂ	Th­îng y		1	2	1		0																																																																		
B¶o Tiªu ChiÕn Y	0	109	511	10	0	0	300							10	1	2		\image\item\cloth\¶ËÎçÍâ×°¿ýÎàÒÂa1.spr	\image\item\cloth\¶ËÎçÍâ×°¿ýÎàÒÂa0.spr	T­¬ng truyÒn chiÕn y nµy lµ cña tiªu s­ tõng trä t¹i qu¸n	¿ýÎàÄÐ¿ÍÕ»ÒÂ	Th­îng y		1	2	1		0																																																																		
Vò §iÖp Tó Trang	0	109	512	10	0	0	300							10	2	4		\image\item\cloth\¶ËÎçÍâ×°½¿Ð¡ÒÂa1.spr	\image\item\cloth\¶ËÎçÍâ×°½¿Ð¡ÒÂa0.spr	"¸o hoa cña bµ chñ còng lµ do t¹p dÞch qu¸n trä may, tó trang nµy còng chÝnh ta c« Êy thªu"	½¿Ð¡Å®¿ÍÕ»ÒÂ	Th­îng y		1	2	1		0																																																																		
Hµm Yªn Tó Trang	0	109	513	10	0	0	300							10	2	3		\image\item\cloth\¶ËÎçÍâ×°ÐÔ¸ÐÒÂa1.spr	\image\item\cloth\¶ËÎçÍâ×°ÐÔ¸ÐÒÂa0.spr	"Bµ chñ v« t×nh cã ®­îc v¶i thªu tuyÖt ®Ñp, sau khi mÆc vµo l¹i cµng xinh ®Ñp, qu¸n trä tõ ®ã kh¸ch ®Õn rÊt ®«ng."	ÐÔ¸ÐÅ®¿ÍÕ»ÒÂ	Th­îng y		1	2	1		0																																																																		
ChuyÓn Sinh Y	0	109	514	10	0	0	300							10	1	1		\image\item\cloth\×ªÉúÍâ×°±êÄÐÒÂa1.spr	\image\item\cloth\×ªÉúÍâ×°±êÄÐÒÂa0.spr	ChuyÓn sinh xong míi cã thÓ mang lo¹i y phôc nµy	±ê×¼ÄÐ×ªÉúÒÂ	Th­îng y		1	2	1		0																																																																		
ChuyÓn Sinh Y	0	109	515	10	0	0	300							10	1	2		\image\item\cloth\×ªÉúÍâ×°¿ýÎàÒÂa1.spr	\image\item\cloth\×ªÉúÍâ×°¿ýÎàÒÂa0.spr	ChuyÓn sinh xong míi cã thÓ mang lo¹i y phôc nµy	¿ýÎàÄÐ×ªÉúÒÂ	Th­îng y		1	2	1		0																																																																		
ChuyÓn Sinh Y	0	109	516	10	0	0	300							10	2	3		\image\item\cloth\×ªÉúÍâ×°ÐÔ¸ÐÒÂa1.spr	\image\item\cloth\×ªÉúÍâ×°ÐÔ¸ÐÒÂa0.spr	ChuyÓn sinh xong míi cã thÓ mang lo¹i y phôc nµy	ÐÔ¸ÐÅ®×ªÉúÒÂ	Th­îng y		1	2	1		0																																																																		
ChuyÓn Sinh Y	0	109	517	10	0	0	300							10	2	4		\image\item\cloth\×ªÉúÍâ×°½¿Ð¡ÒÂa1.spr	\image\item\cloth\×ªÉúÍâ×°½¿Ð¡ÒÂa0.spr	ChuyÓn sinh xong míi cã thÓ mang lo¹i y phôc nµy	½¿Ð¡Å®×ªÉúÒÂ	Th­îng y		1	2	1		0																																																																		
ThÊt ThÇn Y	0	109	518	10	0	0	10							10	1	1		\image\item\cloth\ÆßÉñÒÂa1.spr	\image\item\cloth\ÆßÉñÒÂa0.spr	Trang phôc ChiÕn ThÇn ThÊt ChiÕn gióp gi¶m s¸t th­¬ng nÕu ®­îc ChiÕn ThÇn hé th©n.	±ê×¼ÄÐÉÏÒÂ8¼¶Íâ	Th­îng y		1	2	1		0																																																																		
Long L©n ¤ Kim Gi¸p	0	109	519	10	0	0	10							10	1	2		\image\item\cloth\ÁúÁÛÎÚ½ð¼×a1.spr	\image\item\cloth\ÁúÁÛÎÚ½ð¼×a0.spr	"V¶y rång kÕt hîp ¤ Kim ®óc thµnh ¤ Kim Gi¸p, t¨ng søc m¹nh ThÇn Long."	¿ýÎàÄÐÉÏÒÂ8¼¶Íâ	Th­îng y		1	2	1		0																																																																		
Lôc Oanh Vò Y	0	109	520	10	0	0	10							10	2	3		\image\item\cloth\ÂÌÝÓÓðÒÂa1.spr	\image\item\cloth\ÂÌÝÓÓðÒÂa0.spr	"¸o l«ng vô xanh lôc, uyÓn chuyÓn th­ít tha."	ÐÔ¸ÐÅ®ÉÏÒÂ8¼¶Íâ	Th­îng y		1	2	1		0																																																																		
Doanh Vò Th­êng	0	109	521	10	0	0	10							10	2	4		\image\item\cloth\Ó¯ÎèÓðÉÑa1.spr	\image\item\cloth\Ó¯ÎèÓðÉÑa0.spr	"¸o l«ng vò nhung tÝm, t«n thªm nÎ ®Ñp n÷ tÝnh."	½¿Ð¡Å®ÉÏÒÂ8¼¶Íâ	Th­îng y		1	2	1		0																																																																		
Gi¸ng Tö Bµo	0	109	522	10	0	0	10							10	1	1		\image\item\cloth\ç­×ÏÅÛa1.spr	\image\item\cloth\ç­×ÏÅÛa0.spr	"Lµm tõ l«ng vò ®en tuyÒn, ®iÓm xuyÕn mµu tÝm thÉm, ngù néi gia ch©n khÝ."	±ê×¼ÄÐÉÏÒÂ8¼¶ÄÚ	Th­îng y		1	2	1		0																																																																		
L­u Kim Gi¸p Y	0	109	523	10	0	0	10							10	1	2		\image\item\cloth\¬–½ð¼×ÒÂa1.spr	\image\item\cloth\¬–½ð¼×ÒÂa0.spr	"¸o gi¸p lµm tõ t¬ L­u Kim, chÊt liÖu bÒn ch¾c, ngù néi gia ch©n khÝ."	¿ýÎàÄÐÉÏÒÂ8¼¶ÄÚ	Th­îng y		1	2	1		0																																																																		
Song §¹i Vò Th­êng.	0	109	524	10	0	0	10							10	2	3		\image\item\cloth\Ë«÷ìÓðÉÑa1.spr	\image\item\cloth\Ë«÷ìÓðÉÑa0.spr	"Mµu ®en nh¹t, t«n vÎ ®Ñp khuynh thµnh."	ÐÔ¸ÐÅ®ÉÏÒÂ8¼¶ÄÚ	Th­îng y		1	2	1		0																																																																		
Phông Vò Nghª Sa	0	109	525	10	0	0	10							10	2	4		\image\item\cloth\·ïÓðÄÞÉ´a1.spr	\image\item\cloth\·ïÓðÄÞÉ´a0.spr	"Lµm tõ t¬ Thiªn TÇm, phiªu bång kiªu sa."	½¿Ð¡Å®ÉÏÒÂ8¼¶ÄÚ	Th­îng y		1	2	1		0																																																																		
Tè Ng©n Bµo	0	109	526	10	0	0	10							10	1	1		\image\item\cloth\ËØÒøÅÛa1.spr	\image\item\cloth\ËØÒøÅÛa0.spr	"Lµm tõ t¬ Tè Ng©n, ngù ch©n khÝ, gi¶m s¸t th­¬ng."	±ê×¼ÄÐÉÏÒÂ9¼¶	Th­îng y		1	2	1		0																																																																		
XÝch LuyÖn Gi¸p Y	0	109	527	10	0	0	10							10	1	2		\image\item\cloth\³àÁ¶¼×ÒÂa1.spr	\image\item\cloth\³àÁ¶¼×ÒÂa0.spr	"§óc tõ m¸u cña XÝch LuyÖn Thôc Quû, phßng ngù tèt."	¿ýÎàÄÐÉÏÒÂ9¼¶	Th­îng y		1	2	1		0																																																																		
Ngäc Thoa Vò Y	0	109	528	10	0	0	10							10	2	3		\image\item\cloth\ÓñËóÓðÒÂa1.spr	\image\item\cloth\ÓñËóÓðÒÂa0.spr	"¸o l«ng vò cña tiªn n÷, th­ít tha tho¸t tôc."	ÐÔ¸ÐÅ®ÉÏÒÂ9¼¶	Th­îng y		1	2	1		0																																																																		
§¹i Yªn Nghª Th­êng	0	109	529	10	0	0	10							10	2	4		\image\item\cloth\÷ìÑÌÄÞÉÑa1.spr	\image\item\cloth\÷ìÑÌÄÞÉÑa0.spr	Trang phôc mµu xanh ®en huyÒn bÝ.	½¿Ð¡Å®ÉÏÒÂ9¼¶	Th­îng y		1	2	1		0																																																																		
