Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
NguyÖt ¶nh Ma T«n - Cæ Mé Bè Trang	0	101	27134	50	15000	0	200	20;20					27134	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞÇá°a1.spr	\image\item\shoe\ĞÇá°a0.spr	"NguyÖt nh Ma T«n ®· l·nh héi ®­îc vâ c«ng mËt tŞch trong cæ mé,luyÖn thµnh cöu d­¬ng thÇn c«ng, ®­îc t«n lµm Gi¸o Chñ, H¹ y ®­îc ®Æt tªn dùa vµo Cæ Mé, dïng ®Ó kØ niÖm."	½¿Ğ¡Å®ÏÂÉí008	§· khãa		9	2	1	27	0	999				
Cöu Thiªn Th¸i Ph­îng - Kim Ph­îng Tó QuÇn	0	101	29131	50	30000	0	200	20;20					29131	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÓêÄ»a1.spr	\image\item\shoe\ÓêÄ»a0.spr	"§Ö tö Thóy Yªn khi nghiªn cøu kü n¨ng khëi vò, ngé ®­îc Cöu Thiªn Th¸i Phông Vò cña bøc häa trªn t­êng, ®©y lµ v¸y thªu dïng khi nh¶y móa."	ĞÔ¸ĞÅ®ÏÂ×°8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	29	0					
Cöu Thiªn Th¸i Ph­îng - Kim Ph­îng Tó QuÇn	0	101	29132	50	30000	0	200	20;20					29132	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞÇá°a1.spr	\image\item\shoe\ĞÇá°a0.spr	"§Ö tö Thóy Yªn khi nghiªn cøu kü n¨ng khëi vò, ngé ®­îc Cöu Thiªn Th¸i Phông Vò cña bøc häa trªn t­êng, ®©y lµ v¸y thªu dïng khi nh¶y móa."	½¿Ğ¡Å®ÏÂ×°8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	29	0					
B¨ng T©m Ngäc N÷ - ThÊt B¶o Tó QuÇn	0	101	30131	50	30000	0	200	20;20					30131	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÓêÄ»a1.spr	\image\item\shoe\ÓêÄ»a0.spr	"V¸y thªu cña B¨ng T©m Ngäc N÷, trªn cã tr©n ch©u ®ñ mµu, ®­îc gäi lµ ThÊt B¶o Tó QuÇn."	ĞÔ¸ĞÅ®ÏÂ×°8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	30	0					
B¨ng T©m Ngäc N÷ - ThÊt B¶o Tó QuÇn	0	101	30132	50	30000	0	200	20;20					30132	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞÇá°a1.spr	\image\item\shoe\ĞÇá°a0.spr	"V¸y thªu cña B¨ng T©m Ngäc N÷, trªn cã tr©n ch©u ®ñ mµu, ®­îc gäi lµ ThÊt B¶o Tó QuÇn."	½¿Ğ¡Å®ÏÂ×°8¼¶ÄÚ	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	9	2	1	30	0					
§¹t Ma Thñ To¹ §Õ Thİch Trang	0	101	241	50	40000	0	200	29;17					2041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"ThiÕu L©m tôc gia ®Ö tö, ch­ëng qu¶n ThiÕu L©m 72 tuyÖt kü, ®­îc ban §Õ Thİch Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	2	0					
§¹t Ma Thñ To¹ §Õ Thİch Trang	0	101	242	50	40000	0	200	29;17					2042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"ThiÕu L©m tôc gia ®Ö tö, ch­ëng qu¶n ThiÕu L©m 72 tuyÖt kü, ®­îc ban §Õ Thİch Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	2	0					
Tµng Kinh Thñ To¹ HuyÒn TŞnh Trang	0	101	341	50	40000	0	200	17;29					3041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"ThiÕu L©m thiÒn t¨ng ®Ö tö, ch­ëng qu¶n ThiÕu L©m mËt tŞch, ®­îc ban HuyÒn TŞnh Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	3	0					
Tµng Kinh Thñ To¹ HuyÒn TŞnh Trang	0	101	342	50	40000	0	200	17;29					3042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"ThiÕu L©m thiÒn t¨ng ®Ö tö, ch­ëng qu¶n ThiÕu L©m mËt tŞch, ®­îc ban HuyÒn TŞnh Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	3	0					
La H¸n Thñ To¹ Chİnh Gi¸c Trang	0	101	441	50	40000	0	200	29;17					4041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"ThiÕu L©m vâ t¨ng ®Ö tö, phong La H¸n ®­êng thñ täa, ch­ëng qu¶n ThiÕu L©m thËp b¸t La H¸n, ®­îc ban Chİnh Gi¸c Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	4	0					
La H¸n Thñ To¹ Chİnh Gi¸c Trang	0	101	442	50	40000	0	200	29;17					4042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"ThiÕu L©m vâ t¨ng ®Ö tö, phong La H¸n ®­êng thñ täa, ch­ëng qu¶n ThiÕu L©m thËp b¸t La H¸n, ®­îc ban Chİnh Gi¸c Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	4	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Trang	0	101	641	50	40000	0	200	25;25					6041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"§­êng M«n ®Ö tö, chuyªn dïng ¸m khİ, ®­îc ban TiÒm Èn Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Trang	0	101	642	50	40000	0	200	25;25					6042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"§­êng M«n ®Ö tö, chuyªn dïng ¸m khİ, ®­îc ban TiÒm Èn Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Trang	0	101	643	50	40000	0	200	25;25					6043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"§­êng M«n ®Ö tö, chuyªn dïng ¸m khİ, ®­îc ban TiÒm Èn Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Thiªn Thñ ThÇn VÖ TiÒm Èn Trang	0	101	644	50	40000	0	200	25;25					6044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"§­êng M«n ®Ö tö, chuyªn dïng ¸m khİ, ®­îc ban TiÒm Èn Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	6	0					
Kim Quang Th¸nh N÷ PhËt LÖ Trang	0	101	841	50	40000	0	200	17;29					8041	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Cøu khæ cøu n¹n, ®¹i tõ ®¹i bi, ®­îc ban PhËt LÖ Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	8	0					
Kim Quang Th¸nh N÷ PhËt LÖ Trang	0	101	842	50	40000	0	200	17;29					8042	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Cøu khæ cøu n¹n, ®¹i tõ ®¹i bi, ®­îc ban PhËt LÖ Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	8	0					
Thiªn ¢m Th¸nh N÷ PhËt VËn Trang	0	101	941	50	40000	0	200	25;25					9041	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Thiªn bæn v« h×nh, l¹c bæn v« ©m, ®­îc ban PhËt VËn Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	9	0					
Thiªn ¢m Th¸nh N÷ PhËt VËn Trang	0	101	942	50	40000	0	200	25;25					9042	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Thiªn bæn v« h×nh, l¹c bæn v« ©m, ®­îc ban PhËt VËn Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	9	0					
ChÊp Ph¸p Phï T«n Trang	0	101	1141	50	40000	0	200	29;17					11041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"C¸i Bang tŞnh y ®Ö tö, c«ng chİnh liªm minh, ®­îc ban Phï T«n Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Trang	0	101	1142	50	40000	0	200	29;17					11042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"C¸i Bang tŞnh y ®Ö tö, c«ng chİnh liªm minh, ®­îc ban Phï T«n Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Trang	0	101	1143	50	40000	0	200	29;17					11043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"C¸i Bang tŞnh y ®Ö tö, c«ng chİnh liªm minh, ®­îc ban Phï T«n Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
ChÊp Ph¸p Phï T«n Trang	0	101	1144	50	40000	0	200	29;17					11044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"C¸i Bang tŞnh y ®Ö tö, c«ng chİnh liªm minh, ®­îc ban Phï T«n Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
Ch­ëng Bæng Long Chóng Trang	0	101	1241	50	40000	0	200	25;25					12041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"C¸i Bang du hiÖp, ch­ëng qu¶n ®¶ cÈu bæng ph¸p, ®­îc ban Long Chóng Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng Trang	0	101	1242	50	40000	0	200	25;25					12042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"C¸i Bang du hiÖp, ch­ëng qu¶n ®¶ cÈu bæng ph¸p, ®­îc ban Long Chóng Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng Trang	0	101	1243	50	40000	0	200	25;25					12043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"C¸i Bang du hiÖp, ch­ëng qu¶n ®¶ cÈu bæng ph¸p, ®­îc ban Long Chóng Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng Trang	0	101	1244	50	40000	0	200	25;25					12044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"C¸i Bang du hiÖp, ch­ëng qu¶n ®¶ cÈu bæng ph¸p, ®­îc ban Long Chóng Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Th­îng Thanh ThÇn Kh«ng Trang	0	101	1441	50	40000	0	200	17;29					14041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng Trang	0	101	1442	50	40000	0	200	17;29					14042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng Trang	0	101	1443	50	40000	0	200	17;29					14043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng Trang	0	101	1444	50	40000	0	200	17;29					14044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Vâ §ang ®¹o gia ®Ö tö, vËn dông Th¸i cùc chi ®¹o ®¾c tiªn thiªn ch©n khİ, ®­îc ban ThÇn Kh«ng Ph¸p Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Tö Tiªu Ngù Kh«ng Trang	0	101	1541	50	40000	0	200	25;25					15041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Trang	0	101	1542	50	40000	0	200	25;25					15042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Trang	0	101	1543	50	40000	0	200	25;25					15043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng Trang	0	101	1544	50	40000	0	200	25;25					15044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Vâ §ang tôc gia, Th¸i cùc ch©n khİ th«n thiªn h¹, ®­îc ban Ngù Kh«ng Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
TrÊn Qu©n V« Song Trang	0	101	1741	50	40000	0	200	17;29					17041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Trang	0	101	1742	50	40000	0	200	17;29					17042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Trang	0	101	1743	50	40000	0	200	17;29					17043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song Trang	0	101	1744	50	40000	0	200	17;29					17044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"D­¬ng M«n th­¬ng kş, chinh chiÕn sa tr­êng, uy danh thiªn h¹, ®­îc ban V« Song Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
Chinh Lç B¸ Gi¶ Trang	0	101	1841	50	40000	0	200	20;20					18041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Trang	0	101	1842	50	40000	0	200	20;20					18042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Trang	0	101	1843	50	40000	0	200	20;20					18043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ Trang	0	101	1844	50	40000	0	200	20;20					18044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"D­¬ng M«n cung ph¸p, b¸ khİ sa tr­êng, ®­îc ban B¸ Gi¶ Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Diªm La T«n Gi¶ Ma Hån Trang	0	101	2041	50	40000	0	200	17;29					20041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"Ngò §éc tµ hiÖp, diªm la t«n gi¶, ®­îc ban Ma Hån Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Trang	0	101	2042	50	40000	0	200	17;29					20042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"Ngò §éc tµ hiÖp, diªm la t«n gi¶, ®­îc ban Ma Hån Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Trang	0	101	2043	50	40000	0	200	17;29					20043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Ngò §éc tµ hiÖp, diªm la t«n gi¶, ®­îc ban Ma Hån Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån Trang	0	101	2044	50	40000	0	200	17;29					20044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Ngò §éc tµ hiÖp, diªm la t«n gi¶, ®­îc ban Ma Hån Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Trang	0	101	2141	50	40000	0	200	17;29					21041	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÊÅÔÆa1.spr	\image\item\shoe\ÊÅÔÆa0.spr	"Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Trang"	±ê×¼ÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Trang	0	101	2142	50	40000	0	200	17;29					21042	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ĞüÏöa1.spr	\image\item\shoe\ĞüÏöa0.spr	"Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Trang"	¿ıÎàÄĞÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Trang	0	101	2143	50	40000	0	200	17;29					21043	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\shoe\ÏªÔÆa1.spr	\image\item\shoe\ÏªÔÆa0.spr	"Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Trang"	ĞÔ¸ĞÅ®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn Trang	0	101	2144	50	40000	0	200	17;29					21044	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\shoe\Ò¹¸èa1.spr	\image\item\shoe\Ò¹¸èa0.spr	"Ngò §éc cæ s­, chuyªn luyÖn cæ ®éc, ®­îc ban PhÖ Thiªn Trang"	½¿Ğ¡Å®ÏÂ×°9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
