Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	"(Ngo¹i, néi) phßng"	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	"Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)"	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm																																																													
Khæ Hµnh m·o	0	103	301	20	2	0	120	8;12					3001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m thiÒn t¨ng th­êng sö dông	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	3	0																																																																		
Khæ Hµnh m·o	0	103	302	20	2	0	120	8;12					3002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña ThiÕu L©m thiÒn t¨ng th­êng sö dông	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	3	0																																																																		
ThiÒn Tu m·o	0	103	311	25	4000	0	150	10;15					3011	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña ThiÕu L©m thiÖn t¨ng th­êng sö dông	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	3	0																																																																		
ThiÒn Tu m·o	0	103	312	25	4000	0	150	10;15					3012	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña ThiÕu L©m thiÖn t¨ng th­êng sö dông	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	3	0																																																																		
ThiÒn TŞnh m·o	0	103	321	30	14000	0	200	12;20					3021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0																																																																		
ThiÒn TŞnh m·o	0	103	322	30	14000	0	200	12;20					3022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	3	0																																																																		
ThiÒn TŞnh m·o	0	103	3219	30	0	0	200	12;20					93021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	3	0																																																																		
ThiÒn TŞnh m·o	0	103	3229	30	0	0	200	12;20					93022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö ThiÒn T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	3	0																																																																		
Sa Di m·o	0	103	401	20	2	0	120	12;8					4001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö ThiÕu L©m th­êng ®éi khi luyÖn vâ	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	4	0																																																																		
Sa Di m·o	0	103	402	20	2	0	120	12;8					4002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö ThiÕu L©m th­êng ®éi khi luyÖn vâ	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	4	0																																																																		
§Êu T¨ng m·o	0	103	411	25	4000	0	150	15;10					4011	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Vâ t¨ng cÊp cao cña ThiÕu L©m th­êng sö dông	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	4	0																																																																		
§Êu T¨ng m·o	0	103	412	25	4000	0	150	15;10					4012	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Vâ t¨ng cÊp cao cña ThiÕu L©m th­êng sö dông	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	4	0																																																																		
Hé Ph¸p La H¸n kh«i	0	103	421	30	14000	0	200	20;12					4021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0																																																																		
Hé Ph¸p La H¸n kh«i	0	103	422	30	14000	0	200	20;12					4022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	4	0																																																																		
Hé Ph¸p La H¸n kh«i	0	103	4219	30	0	0	200	20;12					94021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	4	0																																																																		
Hé Ph¸p La H¸n kh«i	0	103	4229	30	0	0	200	20;12					94022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Trang phôc cña ®Ö tö Vâ T¨ng ThiÕu L©m	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	4	0																																																																		
Trang Kh¸ch m·o	0	103	601	20	2	0	120	10;10					6001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	6	0																																																																		
Trang Kh¸ch m·o	0	103	602	20	2	0	120	10;10					6002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	6	0																																																																		
Trang Kh¸ch m·o	0	103	603	20	2	0	120	10;10					6003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	6	0																																																																		
Trang Kh¸ch m·o	0	103	604	20	2	0	120	10;10					6004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña §­êng M«n th­êng ®éi khi luyÖn vâ	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	6	0																																																																		
Hé VÖ m·o	0	103	611	25	4000	0	150	12;12					6011	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	6	0																																																																		
Hé VÖ m·o	0	103	612	25	4000	0	150	12;12					6012	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	6	0																																																																		
Hé VÖ m·o	0	103	613	25	4000	0	150	12;12					6013	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	6	0																																																																		
Hé VÖ m·o	0	103	614	25	4000	0	150	12;12					6014	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña §­êng M«n th­êng ®éi khi ®i tuÇn tra.	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	6	0																																																																		
Bİ §éc c©n	0	103	621	30	14000	0	200	18;18					6021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0																																																																		
Bİ §éc c©n	0	103	622	30	14000	0	200	18;18					6022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0																																																																		
Bİ §éc c©n	0	103	623	30	14000	0	200	18;18					6023	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0																																																																		
Bİ §éc c©n	0	103	624	30	14000	0	200	18;18					6024	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	6	0																																																																		
Bİ §éc c©n	0	103	6219	30	0	0	200	18;18					96021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	6	0																																																																		
Bİ §éc c©n	0	103	6229	30	0	0	200	18;18					96022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	6	0																																																																		
Bİ §éc c©n	0	103	6239	30	0	0	200	18;18					96023	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	6	0																																																																		
Bİ §éc c©n	0	103	6249	30	0	0	200	18;18					96024	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Phôc trang th­êng thÊy cña c¸c thİch kh¸ch	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	6	0																																																																		
Thanh T©m	0	103	801	20	2	0	120	8;12					8001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My phËt gia th­êng sö dông khi luyÖn c«ng	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	8	0																																																																		
Thanh T©m	0	103	802	20	2	0	120	8;12					8002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My phËt gia th­êng sö dông khi luyÖn c«ng	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	8	0																																																																		
Th¸i Vò	0	103	811	25	4000	0	150	10;15					8011	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao cña Nga My phËt gia th­êng dïng lµm trang søc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	8	0																																																																		
Th¸i Vò	0	103	812	25	4000	0	150	10;15					8012	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao cña Nga My phËt gia th­êng dïng lµm trang søc	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	8	0																																																																		
Ph¸p V©n tr©m	0	103	821	30	14000	0	200	12;20					8021	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	"§­îc lµm tõ tróc, bÒn ch¾c v« song"	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0																																																																		
Ph¸p V©n tr©m	0	103	822	30	14000	0	200	12;20					8022	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	"§­îc lµm tõ tróc, bÒn ch¾c v« song"	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	8	0																																																																		
Ph¸p V©n tr©m	0	103	8219	30	0	0	200	12;20					98021	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	"§­îc lµm tõ tróc, bÒn ch¾c v« song"	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	8	0																																																																		
Ph¸p V©n tr©m	0	103	8229	30	0	0	200	12;20					98022	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	"§­îc lµm tõ tróc, bÒn ch¾c v« song"	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	8	0																																																																		
T­ Khóc	0	103	901	20	2	0	120	10;10					9001	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My tôc gia th­êng ®eo khi luyÖn ®µn	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	9	0																																																																		
T­ Khóc	0	103	902	20	2	0	120	10;10					9002	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña Nga My tôc gia th­êng ®eo khi luyÖn ®µn	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	9	0																																																																		
Ph¹m ¢m	0	103	911	25	4000	0	150	12;12					9011	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	§Ö tö cÊp cao c¶u Nga My tôc gia dïng lµm trang søc	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	9	0																																																																		
Ph¹m ¢m	0	103	912	25	4000	0	150	12;12					9012	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	§Ö tö cÊp cao c¶u Nga My tôc gia dïng lµm trang søc	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	9	0																																																																		
M·n NguyÖt tr©m	0	103	921	30	14000	0	200	18;18					9021	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0																																																																		
M·n NguyÖt tr©m	0	103	922	30	14000	0	200	18;18					9022	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	9	0																																																																		
M·n NguyÖt tr©m	0	103	9219	30	0	0	200	18;18					99021	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	9	0																																																																		
M·n NguyÖt tr©m	0	103	9229	30	0	0	200	18;18					99022	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	Trang phôc cña ®Ö tö Nga My tôc gia khi trë thµnh H¶i NguyÖt Sö.	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	9	0																																																																		
ChÊp B¸t c©n	0	103	1101	20	2	0	120	12;8					11001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	11	0																																																																		
ChÊp B¸t c©n	0	103	1102	20	2	0	120	12;8					11002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	11	0																																																																		
ChÊp B¸t c©n	0	103	1103	20	2	0	120	12;8					11003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	11	0																																																																		
ChÊp B¸t c©n	0	103	1104	20	2	0	120	12;8					11004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	Trang bŞ th­êng thÊy cña ®Ö tö cÊp thÊp TŞnh Y C¸i Bang	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	11	0																																																																		
Trõ Gian c©n	0	103	1111	25	4000	0	150	15;10					11011	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	11	0																																																																		
Trõ Gian c©n	0	103	1112	25	4000	0	150	15;10					11012	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	11	0																																																																		
Trõ Gian c©n	0	103	1113	25	4000	0	150	15;10					11013	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_008a1.spr	\image\item\cap\fm1_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	ĞÔ¸ĞÅ®Í·²¿020	§· khãa		6	2	1	11	0																																																																		
Trõ Gian c©n	0	103	1114	25	4000	0	150	15;10					11014	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_008a1.spr	\image\item\cap\fm2_cap_008a0.spr	Trang phôc cña ®Ö tö cÊp cao TŞnh Y C¸i Bang	½¿Ğ¡Å®Í·²¿002	§· khãa		6	2	1	11	0																																																																		
Tø H¶i c©n	0	103	1121	30	14000	0	200	20;12					11021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	±ê×¼ÄĞÍ·²¿018	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0																																																																		
Tø H¶i c©n	0	103	1122	30	14000	0	200	20;12					11022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	¿ıÎàÄĞÍ·²¿007	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0																																																																		
Tø H¶i c©n	0	103	1123	30	14000	0	200	20;12					11023	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	ĞÔ¸ĞÅ®Í·²¿036	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0																																																																		
Tø H¶i c©n	0	103	1124	30	14000	0	200	20;12					11024	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	½¿Ğ¡Å®Í·²¿014	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	8	0	1	11	0																																																																		
Tø H¶i c©n	0	103	11219	30	0	0	200	20;12					911021	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_017a1.spr	\image\item\cap\man1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	±ê×¼ÄĞÍ·²¿018	§· khãa		9	2	1	11	0																																																																		
Tø H¶i c©n	0	103	11229	30	0	0	200	20;12					911022	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_017a1.spr	\image\item\cap\man2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	¿ıÎàÄĞÍ·²¿007	§· khãa		9	2	1	11	0																																																																		
Tø H¶i c©n	0	103	11239	30	0	0	200	20;12					911023	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_017a1.spr	\image\item\cap\fm1_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	ĞÔ¸ĞÅ®Í·²¿036	§· khãa		9	2	1	11	0																																																																		
Tø H¶i c©n	0	103	11249	30	0	0	200	20;12					911024	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_017a1.spr	\image\item\cap\fm2_cap_017a0.spr	§Ö tö TŞnh Y C¸i Bang th­êng ®éi khi ®i khÊt thùc	½¿Ğ¡Å®Í·²¿014	§· khãa		9	2	1	11	0																																																																		
KhiÕu Hoa c©n	0	103	1201	20	2	0	120	10;10					12001	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_002a1.spr	\image\item\cap\man1_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	±ê×¼ÄĞÍ·²¿002	§· khãa		4	2	1	12	0																																																																		
KhiÕu Hoa c©n	0	103	1202	20	2	0	120	10;10					12002	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_006a1.spr	\image\item\cap\man2_cap_006a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	¿ıÎàÄĞÍ·²¿001	§· khãa		4	2	1	12	0																																																																		
KhiÕu Hoa c©n	0	103	1203	20	2	0	120	10;10					12003	10	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm1_cap_002a1.spr	\image\item\cap\fm1_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	ĞÔ¸ĞÅ®Í·²¿019	§· khãa		4	2	1	12	0																																																																		
KhiÕu Hoa c©n	0	103	1204	20	2	0	120	10;10					12004	10	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\fm2_cap_002a1.spr	\image\item\cap\fm2_cap_002a0.spr	§Ö tö cÊp thÊp cña C¸i Bang ¤ Y th­êng ®éi	½¿Ğ¡Å®Í·²¿005	§· khãa		4	2	1	12	0																																																																		
Trõng ¸c c©n	0	103	1211	25	4000	0	150	12;12					12011	10	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\man1_cap_008a1.spr	\image\item\cap\man1_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	±ê×¼ÄĞÍ·²¿010	§· khãa		6	2	1	12	0																																																																		
Trõng ¸c c©n	0	103	1212	25	4000	0	150	12;12					12012	10	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\man2_cap_008a1.spr	\image\item\cap\man2_cap_008a0.spr	§Ö tö cÊp cao cña ¤ Y C¸i Bang th­êng ®éi	¿ıÎàÄĞÍ·²¿003	§· khãa		6	2	1	12	0																																																																		
