Tªn vò khİ	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	CÇm trªn tay	S¸t th­¬ng ngo¹i c«ng	S¸t th­¬ng Néi c«ng 	®é s¾c bĞn	Tèc ®é xuÊt chiªu	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò;Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tinh Kh¾c-Ph¸ Qu©n TrËn Th­¬ng	0	6	8903	130	6001	0	300	0	129;387		1	95	138	80				\image\item\weapon\wea_qan_012a1.spr	\image\item\weapon\wea_qan_012a0.spr	Tr­êng th­¬ng kh¾c s©u chiÕn tİch cña D­¬ng Gia dòng t­íng s¸t ®Şch b×nh thiªn h¹, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	Ç¹7a	Th­¬ng		8	2	1	0	0					
Thiªn NghÜa-Ph¸ Qu©n TrËn Th­¬ng	0	6	8904	130	0	0	300	0	135;405		1	95	139	75				\image\item\weapon\wea_qan_013a1.spr	\image\item\weapon\wea_qan_013a0.spr	Tr­êng th­¬ng kh¾c s©u chiÕn tİch cña D­¬ng Gia dòng t­íng s¸t ®Şch b×nh thiªn h¹, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	Ç¹7b	Th­¬ng		9	2	1	0	0					
ThiÖp Cèt HuyÕt §ao	0	7	8905	185	4715	0	300	2	173;346	243;486	1	105	140	75				\image\item\weapon\wea_ddao_011a1.spr	\image\item\weapon\wea_ddao_011a0.spr	Ma ®ao mang tró o¸n cña v« sè oan hån, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	Ë«µ¶4a	Song ®ao		8		1	0	0					
Tinh Kh¾c-ThiÖp Cèt HuyÕt §ao	0	7	8906	200	6001	0	300	2	180;360	252;504	1	105	141	80				\image\item\weapon\wea_ddao_012a1.spr	\image\item\weapon\wea_ddao_012a0.spr	Ma ®ao mang tró o¸n cña v« sè oan hån, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	Ë«µ¶7a	Song ®ao		8	2	1	0	0					
Thiªn NghÜa-ThiÖp Cèt HuyÕt §ao	0	7	8907	215	0	0	300	2	187;374	261;522	1	105	142	75				\image\item\weapon\wea_ddao_013a1.spr	\image\item\weapon\wea_ddao_013a0.spr	Ma ®ao mang tró o¸n cña v« sè oan hån, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	Ë«µ¶7b	Song ®ao		9	2	1	0	0					
Kinh L«i ThiÒn Tr­îng	0	8	8908	85	4762	0	300	0	173;346	241;482	1	86	143	75				\image\item\weapon\wea_can_013a1.spr	\image\item\weapon\wea_can_013a0.spr	Linh khİ vËt m«n cã thÓ dÉn l«i tru tµ, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÎıÕÈ6b	Tİch tr­îng		8		1	0	0					
Tinh Kh¾c-Kinh L«i ThiÒn Tr­îng	0	8	8909	100	6001	0	300	0	180;360	249;498	1	86	144	80				\image\item\weapon\wea_can_014a1.spr	\image\item\weapon\wea_can_014a0.spr	Linh khİ vËt m«n cã thÓ dÉn l«i tru tµ, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÎıÕÈ7a	Tİch tr­îng		8	2	1	0	0					
Thiªn NghÜa-Kinh L«i ThiÒn Tr­îng	0	8	8910	100	0	0	300	0	187;374	257;514	1	86	145	75				\image\item\weapon\wea_can_015a1.spr	\image\item\weapon\wea_can_015a0.spr	Linh khİ vËt m«n cã thÓ dÉn l«i tru tµ, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	ÎıÕÈ7b	Tİch tr­îng		9	2	1	0	0					
Tinh §Èu ChuyÓn Bót	0	9	8911	120	4621	0	300	0	157;315		1	110	146	75				\image\item\weapon\wea_bru_013a1.spr	\image\item\weapon\wea_bru_013a0.spr	ThÇn bót vÉy mùc tèi trêi, sinh long ho¹t hæ, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê6b	Bót		8		1	0	0					
ThÇn Phong Ph¸n Bót	0	9	8912	120	4621	0	300	0	157;315		1	110	147	75				\image\item\weapon\wea_bru_013a1.spr	\image\item\weapon\wea_bru_013a0.spr	ThÇn bót ®­îc luyÖn tõ th¸nh háa Ba T­, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê6b	Bót		8		1	0	0					
Tinh Kh¾c-Tinh §Èu ChuyÓn Bót	0	9	8913	130	6001	0	300	0	165;330		1	110	148	80				\image\item\weapon\wea_bru_014a1.spr	\image\item\weapon\wea_bru_014a0.spr	ThÇn bót vÉy mùc tèi trêi, sinh long ho¹t hæ, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê7a	Bót		8	2	1	0	0					
Tinh Kh¾c-ThÇn Phong Ph¸n Bót	0	9	8914	130	6001	0	300	0	165;330		1	110	149	80				\image\item\weapon\wea_bru_014a1.spr	\image\item\weapon\wea_bru_014a0.spr	ThÇn bót ®­îc luyÖn tõ th¸nh háa Ba T­, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê7a	Bót		8	2	1	0	0					
Thiªn NghÜa-Tinh §Èu ChuyÓn Bót	0	9	8915	130	0	0	300	0	172;345		1	110	150	75				\image\item\weapon\wea_bru_015a1.spr	\image\item\weapon\wea_bru_015a0.spr	ThÇn bót vÉy mùc tèi trêi, sinh long ho¹t hæ, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê7b	Bót		9	2	1	0	0					
Thiªn NghÜa-ThÇn Phong Ph¸n Bót	0	9	8916	130	0	0	300	0	172;345		1	110	151	75				\image\item\weapon\wea_bru_015a1.spr	\image\item\weapon\wea_bru_015a0.spr	ThÇn bót ®­îc luyÖn tõ th¸nh háa Ba T­, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	±Ê7b	Bót		9	2	1	0	0					
Cöu Hoµn Bèi CÇm	0	10	8917	130	4574	0	300	1	175;350	203;406	1	90	152	75				\image\item\weapon\wea_qin_013a1.spr	\image\item\weapon\wea_qin_013a0.spr	TruyÒn thÕ b¶o cÇm, khóc tËn kinh ph¸ lan, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÇÙ6b	CÇm		8		1	0	0					
Tinh Kh¾c-Cöu Hoµn Bèi CÇm	0	10	8918	140	6001	0	300	1	183;366	212;425	1	90	153	80				\image\item\weapon\wea_qin_014a1.spr	\image\item\weapon\wea_qin_014a0.spr	TruyÒn thÕ b¶o cÇm, khóc tËn kinh ph¸ lan, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÇÙ7a	CÇm		8	2	1	0	0					
Thiªn NghÜa-Cöu Hoµn Bèi CÇm	0	10	8919	140	0	0	300	1	191;382	222;445	1	90	154	75				\image\item\weapon\wea_qin_015a1.spr	\image\item\weapon\wea_qin_015a0.spr	TruyÒn thÕ b¶o cÇm, khóc tËn kinh ph¸ lan, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	ÇÙ7b	CÇm		9	2	1	0	0					
LuyÖn Hån HuyÕt Tr¶o	0	11	8920	185	4715	0	300	2	173;346	208;416	1	105	155	75				\image\item\weapon\wea_zhua_011a1.spr	\image\item\weapon\wea_zhua_011a0.spr	HuyÒn tr¶o phong Ên v« sè oan hån, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	×¦6b	Tr¶o		8		1	0	0					
ThÇn Linh Chó Tr¶o	0	11	8921	185	4715	0	300	2	173;346	208;416	1	105	156	75				\image\item\weapon\wea_zhua_011a1.spr	\image\item\weapon\wea_zhua_011a0.spr	Linh tr¶o ®­îc luyÖn tõ th¸nh háa Ba T­, s¾c nhän thÊu cèt xuyªn t©m, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	×¦6b	Tr¶o		8		1	0	0					
Tinh Kh¾c-LuyÖn Hån HuyÕt Tr¶o	0	11	8922	200	6001	0	300	2	180;360	216;432	1	105	157	80				\image\item\weapon\wea_zhua_012a1.spr	\image\item\weapon\wea_zhua_012a0.spr	HuyÒn tr¶o phong Ên v« sè oan hån, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	×¦7a	Tr¶o		8	2	1	0	0					
Tinh Kh¾c-ThÇn Linh Chó Tr¶o	0	11	8923	200	6001	0	300	2	180;360	216;432	1	105	158	80				\image\item\weapon\wea_zhua_012a1.spr	\image\item\weapon\wea_zhua_012a0.spr	Linh tr¶o ®­îc luyÖn tõ th¸nh háa Ba T­, s¾c nhän thÊu cèt xuyªn t©m, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	×¦7a	Tr¶o		8	2	1	0	0					
Thiªn NghÜa-LuyÖn Hån HuyÕt Tr¶o	0	11	8924	215	0	0	300	2	187;374	224;448	1	105	159	75				\image\item\weapon\wea_zhua_013a1.spr	\image\item\weapon\wea_zhua_013a0.spr	HuyÒn tr¶o phong Ên v« sè oan hån, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	×¦7b	Tr¶o		9	2	1	0	0					
Thiªn NghÜa-ThÇn Linh Chó Tr¶o	0	11	8925	215	0	0	300	2	187;374	224;448	1	105	160	75				\image\item\weapon\wea_zhua_013a1.spr	\image\item\weapon\wea_zhua_013a0.spr	Linh tr¶o ®­îc luyÖn tõ th¸nh háa Ba T­, s¾c nhän thÊu cèt xuyªn t©m, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	×¦7b	Tr¶o		9	2	1	0	0					
§o¶n Tiªu 	0	12	1	20	3	0	70	0	15;27	7;13	1	87		1			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_001a1.spr	\image\item\weapon\Wea_di_001a0.spr	Lo¹i tiªu th­êng, kh¸ ng¾n, dïng cho ng­êi míi nhËp m«n	µÑ2a	Tiªu		2	0	0	0	0					
Méc Tiªu	0	12	2	30	7	0	95	0	21;42	10;19	1	87		16			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_002a1.spr	\image\item\weapon\Wea_di_002a0.spr	 Tiªu lµm tõ gç d­¬ng, chÕ t¸c tinh x¶o, ®­îc ng­êi hiÓu ©m luËt ­a thİch	µÑ2b	Tiªu		2	0	0	0	0					
Tróc Tiªu 	0	12	3	40	9	0	120	0	32;60	16;31	1	87		22			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_003a1.spr	\image\item\weapon\Wea_di_003a0.spr	Tiªu ®­îc ®Ïo gät tõ c©y tróc, toµn th©n xanh biÕc, tiÕng s¸o th¸nh thãt	µÑ3a	Tiªu		3	0	0	0	0					
Môc Tiªu 	0	12	4	50	12	0	140	0	39;78	20;38	1	87		28			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_004a1.spr	\image\item\weapon\Wea_di_004a0.spr	Tiªu môc ®ång th­êng thæi, tiÕng thæi du d­¬ng	µÑ3b	Tiªu		3	0	0	0	0					
TÊt Tiªu	0	12	5	60	16	0	155	0	52;101	25;47	1	87		34			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_005a1.spr	\image\item\weapon\Wea_di_005a0.spr	Tiªu dïng cho cung ®×nh, lµm b»ng ®ång, ngoµi phñ s¬n ®á	µÑ4a	Tiªu		4	0	0	0	0					
§ång Tiªu	0	12	6	70	24	0	170	0	64;129	29;62	1	87		40			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_007a1.spr	\image\item\weapon\Wea_di_007a0.spr	Tiªu dïng cho cung ®×nh, d¸ng tùa khæng t­íc	µÑ5a	Tiªu		4	0	0	0	0					
Gi¸c Thİch	0	12	7	80	35	0	190	0	80;158	37;77	1	87		46			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_008a1.spr	\image\item\weapon\Wea_di_008a0.spr	Tiªu cña téc tr­ëng Miªu C­¬ng, lµm b»ng x­¬ng thó, ©m thanh trÇm l¾ng	µÑ5b	Tiªu		5	0	0	0	0					
Lam Linh	0	12	8	90	53	0	200	0	95;190	45;84	1	87		52			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_006a1.spr	\image\item\weapon\Wea_di_006a0.spr	Lµm b»ng b¹c nguyªn chÊt, ©m thanh trong trÎo, say ®¾m lßng ng­êi	µÑ6a	Tiªu		5	0	0	0	0					
HuyÒn Hång	0	12	9	100	76	0	210	0	113;225	59;99	1	87		58			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_009a1.spr	\image\item\weapon\Wea_di_009a0.spr	Tiªu truyÒn nhËp tõ T©y Vùc, hai ®Çu h¬i lín, ©m trÇm ®ôc, hiÕm thÊy	µÑ6b	Tiªu		6	0	0	0	0					
Thóy Ngäc	0	12	10	110	102	0	230	0	131;261	66;125	1	87		64			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu lµm tõ ngäc bİch xanh biÕc, ©m thanh rĞo r¾t	µÑ7a	Tiªu		6	0	0	0	0					
Ng©n Ti	0	12	11	120	4621	0	250	0	152;303	71;155	1	87		70			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu b»ng b¹c nguyªn chÊt, cã sîi vµng quÊn quanh, chÕ t¸c tuyÖt mü, ng­êi së h÷u n¨ng lùc t¨ng m¹nh	µÑ10b	Tiªu		7	0	0	0	0					
Minh B¨ng	0	12	12	130	6001	0	270	0	158;318	84;162	1	87		76			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Lµm tõ san h« xanh, trªn kh¶m c¸ sÊu lín, lµ vËt dông cña bËc cao nh©n ®¾c ®¹o	µÑ8b	Tiªu		8	0	0	0	0					
Xİch Tiªu	0	12	13	130	9000	0	270	0	166;331	85;170	1	87		86			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Tiªu b»ng vµng, do Viªm §Õ truyÒn l¹i, trªn kh¶m rång ®á, b¸ khİ ®Õ v­¬ng	µÑ9a	Tiªu		9	0	0	0	0					
UÈn H­¬ng	0	12	14	130	9000	0	270	0	173;345	88;175	1	87		96			Dïng cho Thóy Yªn Linh N÷	\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu b»ng ngäc th­îng h¹ng, ©m thanh m­ît mµ thanh tho¸t, lµ vËt dông cña bËc tiªn nh©n	µÑ7a	Tiªu		10	0	1	0	0					
TÇm H­¬ng	0	12	30101	30	2	0	200	0	64;129	29;62	1	87	30101	10	2	3		\image\item\weapon\Wea_di_003a1.spr	\image\item\weapon\Wea_di_003a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp thÊp, bÒ ngoµi bãng m­ît, ©m thanh dŞu nhÑ.	µÑ3a	§· khãa		4	2	1	0	0					
TÇm H­¬ng	0	12	30102	30	2	0	200	0	64;129	29;62	1	87	30102	10	2	4		\image\item\weapon\Wea_di_003a1.spr	\image\item\weapon\Wea_di_003a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp thÊp, bÒ ngoµi bãng m­ît, ©m thanh dŞu nhÑ.	µÑ3a	§· khãa		4	2	1	0	0					
Th¸m Ngäc	0	12	30111	40	5000	0	250	0	131;261	66;125	1	87	30111	50	2	3		\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp cao, mµu xanh biÕc, bãng m­ît v« cïng.	µÑ7a	§· khãa		6	2	1	0	0					
Th¸m Ngäc	0	12	30112	40	5000	0	250	0	131;261	66;125	1	87	30112	50	2	4		\image\item\weapon\Wea_di_010a1.spr	\image\item\weapon\Wea_di_010a0.spr	Tiªu dïng cho ®Ö tö Thóy Yªn Linh N÷ cÊp cao, mµu xanh biÕc, bãng m­ît v« cïng.	µÑ7a	§· khãa		6	2	1	0	0					
Ngäc MÉu §¬n	0	12	30121	50	15000	0	300	0	158;318	84;162	1	87	30121	76	2	3		\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Tiªu ngäc cña Nghªnh H­¬ng Sø, trªn cã d©y leo quÊn quanh cïng víi mét ®ãa mÉu ®¬n lín.	µÑ8b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	0	1	0	0					
Ngäc MÉu §¬n	0	12	30122	50	15000	0	300	0	158;318	84;162	1	87	30122	76	2	4		\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Tiªu ngäc cña Nghªnh H­¬ng Sø, trªn cã d©y leo quÊn quanh cïng víi mét ®ãa mÉu ®¬n lín.	µÑ8b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi3.lua	7	0	1	0	0					
B¨ng T©m Ngäc N÷ - Ng©n Linh Tr­êng §Şch	0	12	30131	50	18000	0	300	0	166;331	85;170	1	87	30131	80	2	3		\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu cña B¨ng T©m Ngäc N÷, trang trİ tr©n ch©u ngäc quı, ®­îc gäi lµ Ng©n Linh.	µÑ10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	2	1	0	0					
B¨ng T©m Ngäc N÷ - Ng©n Linh Tr­êng §Şch	0	12	30132	50	18000	0	300	0	166;331	85;170	1	87	30132	80	2	4		\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Tiªu cña B¨ng T©m Ngäc N÷, trang trİ tr©n ch©u ngäc quı, ®­îc gäi lµ Ng©n Linh.	µÑ10b	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi5.lua	8	2	1	0	0					
Linh §éng T«n Gi¶ Phi V©n Linh §Şch	0	12	30141	50	50000	0	300	0	173;345	88;175	1	87	30141	80	2	3		\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu cña Vò Hån Linh §éng T«n Gi¶, tªn gäi Phi V©n.	µÑ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	0	0					
Linh §éng T«n Gi¶ Phi V©n Linh §Şch	0	12	30142	50	50000	0	300	0	173;345	88;175	1	87	30142	80	2	4		\image\item\weapon\Wea_di_011a1.spr	\image\item\weapon\Wea_di_011a0.spr	Tiªu cña Vò Hån Linh §éng T«n Gi¶, tªn gäi Phi V©n.	µÑ7a	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	0	0					
Hiªn Viªn Phån Hoa §Şch	0	12	8821	50	25000	0	270	0	166;331	85;170	1	87	88021	70				\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Tiªu lµm tõ m¶nh thÇn binh th­îng cæ sãt l¹i, tiÕng s¸o ©m vang, tªn gäi Phån Hoa.	µÑ9a	Tiªu		9	2	1	0	0					
Phån Hoa Tiªu	0	12	8871	50	25000	0	270	0	166;331	85;170	1	87	88071	90				\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	B¾t ch­íc chÕ t¹o Hiªn Viªn vò khİ, thªm linh khİ Tö quang thÇn thó, cã thÓ ®em so s¸nh víi vËt thËt	µÑ9a	Tiªu		9	2	1	0	0					
Cöu Tiªu S¸o	0	12	8926	120	4621	0	300	0	158;318	84;162	1	87	161	75				\image\item\weapon\Wea_di_012a1.spr	\image\item\weapon\Wea_di_012a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ10b	Tiªu		8		1	0	0					
Tinh Kh¾c-Cöu Tiªu S¸o	0	12	8927	130	6001	0	300	0	166;331	85;170	1	87	162	80				\image\item\weapon\Wea_di_013a1.spr	\image\item\weapon\Wea_di_013a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ8b	Tiªu		8	2	1	0	0					
Thiªn NghÜa-Cöu Tiªu S¸o	0	12	8928	130	0	0	300	0	173;345	88;175	1	87	163	75				\image\item\weapon\Wea_di_014a1.spr	\image\item\weapon\Wea_di_014a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang l¹c nh¹n nguyÖt thÑn, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	µÑ9a	Tiªu		9	2	1	0	0					
Linh Lung Chi	0	13	8929	130	4573	0	300	0	204;408	175;350	1	87	164	75				\image\item\weapon\Wea_lingzhi_007a1.spr	\image\item\weapon\Wea_lingzhi_007a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, kú binh do D­¬ng V¨n Qu¶ng tÆng cho chiÕn sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦8b	Linh Chi		8		1	0	0					
Tinh Kh¾c-Linh Lung Chi	0	13	8930	140	6001	0	300	0	213;427	183;366	1	87	165	80				\image\item\weapon\Wea_lingzhi_008a1.spr	\image\item\weapon\Wea_lingzhi_008a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, trªn kh¾c L­u Tinh HËn, kú binh quı hiÕm do D­¬ng V¨n Qu¶ng tÆng cho dòng sÜ ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦8a	Linh Chi		8	2	1	0	0					
Thiªn NghÜa-Linh Lung Chi	0	13	8931	140	0	0	300	0	224;448	191;382	1	87	166	75				\image\item\weapon\Wea_lingzhi_012a1.spr	\image\item\weapon\Wea_lingzhi_012a0.spr	Linh tiªu kh¾c tõ nh¸nh c©y th¸i h­ bång lai tiªn thñy, ©m vang b¸ch hoa céng h­ëng, trªn kh¾c Hoµn Vò Lı, TuyÖt thÕ kú binh dŞ b¶o do D­¬ng V¨n Qu¶ng tÆng cho hµo kiÖt ®¹i Tèng x«ng pha giÕt giÆc. 	ÁéÖ¦9a	Linh Chi		9	2	1	0	0					
Cöu Ch©u-L­u Ly Giíi §ao	0	3	8932	200	9000	0	300	0	252;505		1	100	178	70				\image\item\weapon\wea_5v5liupai_01a1.spr	\image\item\weapon\wea_5v5liupai_01a0.spr	B¶o ®ao bİch huyÒn, ®ao phong phËt ı, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÉÙÁÖµ¶10	§¬n ®ao		9	1	1	0	0					
Cöu Ch©u-L«i ¢m Nang Thñ	0	0	8933	50	9000	0	300	0	261;522	224;448	1	90	179	70				\image\item\weapon\wea_5v5liupai_03a1.spr	\image\item\weapon\wea_5v5liupai_03a0.spr	PhËt m«n hé thñ khi xuÊt chiªu cã thÓ ph¸t ra thiÒn ©m, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	¿ÕÊÖ	Hé thñ		9	1	1	0	0					
Cöu Ch©u-Kinh L«i ThiÒn Tr­îng	0	8	8934	100	9000	0	300	0	187;374	257;514	1	86	180	70				\image\item\weapon\wea_5v5liupai_04a1.spr	\image\item\weapon\wea_5v5liupai_04a0.spr	Linh khİ vËt m«n cã thÓ dÉn l«i tru tµ, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông. 	ÉÙÁÖìø10	Tİch tr­îng		9	1	1	0	0					
Cöu Ch©u-¢m D­¬ng Xuyªn ¶nh	0	1	8935	50	25000	0	300	0	152;305		1	80	181	70				\image\item\weapon\wea_5v5liupai_06a1.spr	\image\item\weapon\wea_5v5liupai_06a0.spr	DŞ vùc ¸m khİ, v« ¶nh tµng kim, qu¶ng thÕ thÇn bi luyÖn tõ ch©n háa kim long phi phông.	°µÆ÷	¸m khİ		9	1	1	0	0					
