Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30333	30	40000	0	200						31597	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	20	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30334	30	40000	0	200						31598	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30335	30	40000	0	200						31599	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30336	30	40000	0	200						31600	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30337	30	40000	0	200						31601	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	21	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30338	30	40000	0	200						31602	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30339	30	40000	0	200						31603	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	23	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30340	30	40000	0	200						31604	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30341	30	40000	0	200						31605	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30342	30	40000	0	200						31606	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30343	30	40000	0	200						31607	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	25	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30344	30	40000	0	200						31608	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30345	30	40000	0	200						31609	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30346	30	40000	0	200						31610	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30347	30	40000	0	200						31611	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	26	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30348	30	40000	0	200						31612	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30349	30	40000	0	200						31613	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30350	30	40000	0	200						31614	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30351	30	40000	0	200						31615	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	27	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30352	30	40000	0	200						31616	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30353	30	40000	0	200						31617	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	29	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30354	30	40000	0	200						31618	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Kú	0	102	30355	30	40000	0	200						31619	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢ÁîÆì2_A1.spr	\image\item\ring\À×»¢ÁîÆì2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	30	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30356	30	40000	0	200						31556	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30357	30	40000	0	200						31557	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	2	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30358	30	40000	0	200						31558	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30359	30	40000	0	200						31559	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	3	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30360	30	40000	0	200						31560	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30361	30	40000	0	200						31561	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	4	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30362	30	40000	0	200						31562	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30363	30	40000	0	200						31563	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30364	30	40000	0	200						31564	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30365	30	40000	0	200						31565	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	6	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30366	30	40000	0	200						31566	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30367	30	40000	0	200						31567	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	8	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30368	30	40000	0	200						31568	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30369	30	40000	0	200						31569	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	9	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30370	30	40000	0	200						31570	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30371	30	40000	0	200						31571	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30372	30	40000	0	200						31572	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30373	30	40000	0	200						31573	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	11	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30374	30	40000	0	200						31574	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30375	30	40000	0	200						31575	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30376	30	40000	0	200						31576	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30377	30	40000	0	200						31577	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	12	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30378	30	40000	0	200						31578	690	1	1	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30379	30	40000	0	200						31579	690	1	2	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30380	30	40000	0	200						31580	690	2	3	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
Tèng_Háa Phông T­íng Qu©n LÖnh Phï	0	102	30381	30	40000	0	200						31581	690	2	4	T©n thñ kh«ng thÓ dïng	\image\item\ring\À×»¢»¢·û2_A1.spr	\image\item\ring\À×»¢»¢·û2_A0.spr	"Tø Linh ThÇn-Háa Phông ban cho Trang Søc <color=Gold>(CÇn ®¹t qu©n hµm T­íng Qu©n hoÆc C«ng Tr¹ng ®¹t ®Õn 3,000,000)"		§· khãa	\script\newbattles\battle_equipment_jungong_or_junxian.lua	10	1	1	14	0					
