Tªn M·o	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	(Ngo¹i, néi) phßng	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
ChÊp Ph¸p Phï T«n C©n	0	103	1144	30	40000	0	200	25;17					11044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	C¸i Bang TŞnh Y ®Ö tö, c«ng chİnh liªm minh, truyÒn ChÊp ph¸p tr­ëng l·o ®Ó gi÷ ph¸p kû vµ ban Phï T«n C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	11	0					
Ch­ëng Bæng Long Chóng C©n	0	103	1241	30	40000	0	200	23;23					12041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C©n	0	103	1242	30	40000	0	200	23;23					12042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C©n	0	103	1243	30	40000	0	200	23;23					12043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Ch­ëng Bæng Long Chóng C©n	0	103	1244	30	40000	0	200	23;23					12044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	C¸i Bang du hiÖp tr­îng nghÜa ®­îc b¸ t¸nh yªu mÕn, truyÒn Ch­ëng Bæng Tr­ëng L·o, gi÷ §¶ CÈu Bæng ®Ó b¶o vÖ bæn bang vµ ban Long Chóng §Çu C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	12	0					
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1441	30	40000	0	200	17;25					14041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khİ, dÜ thÇn ngù kiÕm khİ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1442	30	40000	0	200	17;25					14042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khİ, dÜ thÇn ngù kiÕm khİ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1443	30	40000	0	200	17;25					14043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khİ, dÜ thÇn ngù kiÕm khİ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Th­îng Thanh ThÇn Kh«ng C©n	0	103	1444	30	40000	0	200	17;25					14044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	Vâ §ang ®¹o gia ®Ö tö, víi Th¸i Cùc chi ®¹o ®­îc tiªn thiªn ch©n khİ, dÜ thÇn ngù kiÕm khİ, ®­îc phong Th­îng Thanh Ch©n Nh©n vµ ban ThÇn Kh«ng Ph¸p C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	14	0					
Tö Tiªu Ngù Kh«ng C©n	0	103	1541	30	40000	0	200	17;25					15041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng C©n	0	103	1542	30	40000	0	200	17;25					15042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng C©n	0	103	1543	30	40000	0	200	17;25					15043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
Tö Tiªu Ngù Kh«ng C©n	0	103	1544	30	40000	0	200	17;25					15044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	Vâ §ang tôc gia ®­îc phong Tö H¹ Th­îng Nh©n vµ ban Ngù Kh«ng C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	15	0					
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1741	30	40000	0	200	23;23					17041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	D­¬ng M«n th­¬ng kş dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1742	30	40000	0	200	23;23					17042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	D­¬ng M«n th­¬ng kş dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1743	30	40000	0	200	23;23					17043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	D­¬ng M«n th­¬ng kş dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
TrÊn Qu©n V« Song ChiÕn Kh«i	0	103	1744	30	40000	0	200	23;23					17044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	D­¬ng M«n th­¬ng kş dòng m·nh trªn sa tr­êng, phong TrÊn Qu©n Nguyªn So¸i vµ ban V« Song ChiÕn Kh«i	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	17	0					
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1841	30	40000	0	200	17;25					18041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khİ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1842	30	40000	0	200	17;25					18042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khİ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1843	30	40000	0	200	17;25					18043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khİ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Chinh Lç B¸ Gi¶ ChiÕn Kh«i	0	103	1844	30	40000	0	200	17;25					18044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	D­¬ng M«n Cung Ph¸p xuÊt chiªu nh­ vò b·o, b¸ khİ uy hiÕp c¶ sa tr­êng, ®­îc phong Chinh Lç Nguyªn So¸i thèng lÜnh tam qu©n vµ ban B¸ Gi¶ ChiÕn Kh«i	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	18	0					
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2041	30	40000	0	200	23;23					20041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2042	30	40000	0	200	23;23					20042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2043	30	40000	0	200	23;23					20043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Diªm La T«n Gi¶ Ma Hån C©n	0	103	2044	30	40000	0	200	23;23					20044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	Ngò §éc tµ hiÖp dïng ®éc thuËt ma hån tÕ Diªm La, ®­îc phong Diªm La T«n Gi¶ vµ ban Ma Hån C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	20	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2141	30	40000	0	200	17;25					21041	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2142	30	40000	0	200	17;25					21042	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2143	30	40000	0	200	17;25					21043	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Cæ §éc T«n Gi¶ PhÖ Thiªn C©n	0	103	2144	30	40000	0	200	17;25					21044	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	Ngò §éc cæ s­ chÕ ®éc xuÊt thÇn nhËp hãa, ®­îc phong Cæ §éc T«n Gi¶ vµ ban PhÖ Thiªn C©n	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	21	0					
Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n	0	103	23141	30	40000	0	200	17;25					23141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	Nãn ®­îc dïng khi Hång Méng Ch©n Nh©n hµn yªu phôc ma, tö sa linh khİ nh­ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Thanh.	±ê×¼ÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
Hång M«ng Ch©n Nh©n - HuyÒn Thanh §Çu Qu¸n	0	103	23142	30	40000	0	200	17;25					23142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	Nãn ®­îc dïng khi Hång Méng Ch©n Nh©n hµn yªu phôc ma, tö sa linh khİ nh­ Èn hiÖn xung quanh, khiÕn ma qu¸i võa nh×n ®· sî. Tªn lµ HuyÒn Thanh.	¿ıÎàÄĞÍ·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	23	0					
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25141	30	20000	0	200	25;17					25141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	"Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn"	±ê×¼ÄĞÍ·²¿004	§· khãa		9	2	1	25	0	999				
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25142	30	20000	0	200	25;17					25142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	"Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn"	¿ıÎàÄĞÍ·²¿013	§· khãa		9	2	1	25	0	999				
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25143	30	20000	0	200	25;17					25143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	"Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn"	ĞÔ¸ĞÅ®Í·²¿021	§· khãa		9	2	1	25	0	999				
Kim Mao S­ V­¬ng -  §å Long §Çu Qu¸n	0	103	25144	30	20000	0	200	25;17					25144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	"Kim Mao S­ V­¬ng nhê cã §å Long B¶o §ao mµ danh chÊn thiªn h¹, ng­êi ®êi ch­a ®­îc gÆp mÆt nh­ng ®É biÕt dung m¹o cña y, ®Çu kh«i y mang lÊy §å Long ®Ó ®Æt tªn"	½¿Ğ¡Å®Í·²¿008	§· khãa		9	2	1	25	0	999				
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26141	30	20000	0	200	23;23					26141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	"B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh"	±ê×¼ÄĞÍ·²¿004	§· khãa		9	2	1	26	0	999				
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26142	30	20000	0	200	23;23					26142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	"B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh"	¿ıÎàÄĞÍ·²¿013	§· khãa		9	2	1	26	0	999				
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26143	30	20000	0	200	23;23					26143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	"B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh"	ĞÔ¸ĞÅ®Í·²¿021	§· khãa		9	2	1	26	0	999				
B¹ch Mi ¦ng V­¬ng - Quang Minh §Çu C©n	0	103	26144	30	20000	0	200	23;23					26144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	"B¹ch Mi ¦ng V­¬ng ®¹i nghÜa lÉm nhiªn, thiÕt huyÕt ®¬n t©m, ®­îc x­ng lµ hãa th©n cña Quang Minh, C©n cña y ®­îc ®Æt tªn theo Quang Minh"	½¿Ğ¡Å®Í·²¿008	§· khãa		9	2	1	26	0	999				
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27141	30	20000	0	200	23;23					27141	80	1	1	T©n thñ kh«ng thÓ dïng	\image\item\cap\Â½Àëa1.spr	\image\item\cap\Â½Àëa0.spr	" Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt"	±ê×¼ÄĞÍ·²¿004	§· khãa		9	2	1	27	0	999				
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27142	30	20000	0	200	23;23					27142	80	1	2	T©n thñ kh«ng thÓ dïng	\image\item\cap\Êñ¹ía1.spr	\image\item\cap\Êñ¹ía0.spr	" Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt"	¿ıÎàÄĞÍ·²¿013	§· khãa		9	2	1	27	0	999				
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27143	30	20000	0	200	23;23					27143	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	" Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt"	ĞÔ¸ĞÅ®Í·²¿021	§· khãa		9	2	1	27	0	999				
Thanh Dùc Bøc V­¬ng - Hµn HuyÕt §Çu Qu¸n	0	103	27144	30	20000	0	200	23;23					27144	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	" Thanh Dùc Bøc V­¬ng dùa vµo hót sinh lùc ®Ó hãa gi¶i ®éc hµn trong c¬ thÓ, nghe ®Õn tªn y kh«ng l¹nh mµ run, ®Çu kh«i cña y ®Æt tªn theo Hµn HuyÕt"	½¿Ğ¡Å®Í·²¿008	§· khãa		9	2	1	27	0	999				
B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc	0	103	29141	30	40000	0	200	23;23					29141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Khi B¸ch Hoa T«n gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Tªn lµ Ng©n T©m	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0					
B¸ch Hoa T«n Gi¶ - Ng©n T©m Ph¸t Søc	0	103	29142	30	40000	0	200	23;23					29142	80	2	4	T©n thñ kh«ng thÓ dïng	\image\item\cap\÷öÔÂa1.spr	\image\item\cap\÷öÔÂa0.spr	Khi B¸ch Hoa T«n gi¶ hiÖn th©n, tr¨m hoa ®ua në, b¸ch ®iÓu tÒ minh, nghinh phong khëi vò. Tªn lµ Ng©n T©m	½¿Ğ¡Å®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	29	0					
Linh §éng T«n Gi¶ - Khª V©n Ph¸t Tr©m	0	103	30141	30	40000	0	200	23;23					30141	80	2	3	T©n thñ kh«ng thÓ dïng	\image\item\cap\¸³Óêa1.spr	\image\item\cap\¸³Óêa0.spr	Vò Hån Linh §éng T«n Gi¶, d¸ng vÎ th­ít tha uyÓn chuyÓn, ®©y chİnh lµ tr©m tãc th­êng cµi, tªn lµ Khª V©n.	ĞÔ¸ĞÅ®Í·²¿9¼¶	§· khãa	\script\online\shimenrenwu\item\shengwangxianzhi6.lua	9	2	1	30	0					
